Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__CRKRS	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__LOC645280	-0.014	-0.082	-3.43	-0.134	0.64	-0.12	0.05	-2.895	-0.216	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	-0.376	0.041	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.131	-0.122	0.062	0.04	0.328	-0.202	0.226	-0.148	0.004	-0.19	0.227	0.174	-0.31	-0.302	0.343	-4.17	-3.988
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC402360	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__SLC25A18	-0.01	-0.086	-0.197	-0.134	-0.467	2.812	0.05	0.5	-0.216	-0.288	-0.012	-0.384	0.122	-0.116	0.026	-0.136	2.543	0.301	0.217	0.723	0.172	0.157	-0.404	1.888	-0.131	-0.122	0.062	0.04	0.328	-0.202	-0.752	2.554	0.004	-0.206	0.227	0.058	-0.3	-0.32	-0.289	0.37	0.095
SNP__LOC646636	-0.647	-0.178	-0.236	-1.03	-0.402	-0.102	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.842	-0.064	-0.627	-0.216	-0.833	-2.568	-0.035	-0.357	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__LOC646611	-0.648	-0.203	-0.236	-1.03	-0.262	0.032	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.524	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-3.103	-0.222	-0.052	0.286	0.263	-0.23	-0.172	0	0.084	0.089	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__RPS10P2	0.013	0.304	-2.773	0.122	0.437	-0.355	0.09	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	0.143	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__FLJ35282	-0.648	-0.203	-0.236	-1.03	-0.658	-1.017	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.213	0.031	-2.711	-0.865	-0.064	-0.627	-0.228	-2.484	-2.568	-0.025	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.072	0.022
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.097	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	0.06	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	-0.096	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__ELAVL2	-0.647	-0.203	-0.236	-1.03	-0.262	0.094	0.044	-0.459	0.136	-0.278	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.165	0.285	-2.607	0.797	-0.081	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064	0.019
SNP__HLA-DRB5	-0.372	-0.275	-0.505	1.173	-0.434	-1.003	-0.07	0.144	0.266	-0.275	0.042	0.994	0.89	-1.493	1.236	0.357	-0.479	-0.486	-0.785	1.626	0.025	1.158	1.099	0.857	0.848	-0.42	-1.807	0.066	-0.056	-0.222	1.776	1.042	0.017	-0.896	0.284	-0.019	1.208	0.011	0.062	-0.222	-0.379
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.573	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__CDKN2A	-0.648	-0.203	-2.561	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-2.756	-2.448	-2.158	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.294	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	0.008	-4.07	-3.272	-0.254	-0.304	0.08	0.118	-0.366
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-3.5	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__LOC646605	-0.648	-0.203	-0.236	-1.03	-0.275	0.166	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
SNP__WWOX	-2.18	-0.55	-2.831	0.092	0.19	-2.109	-1.822	-0.105	0.708	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-1.709	-0.412	-1.319	0.442	-2.607	0.572	0.448	-0.661	-2.395	0.457	-2.223	-1.648	-0.561	-0.206	-2.091	0.026	0.541	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.164	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__LOC653403	-0.028	-0.113	-2.145	-0.163	-0.475	-0.154	0.018	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-0.151	0.06	0.027	0.314	-0.226	-1.972	-0.148	0.004	-0.19	0.187	-0.163	-0.323	-0.327	-0.316	0.377	0.08
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	0.039	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__DMRTA1	-0.648	-0.203	-0.236	-1.03	-0.275	0.045	0.044	-0.451	0.136	-0.261	-0.475	-0.048	-0.052	-0.77	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-0.406	-0.181	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.357	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
