Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04872051__CHST7	0.66589	0.021583	0.045138	0.38282	0.96257	0.026263	0.057911	0.020534	0.42909	0.11798	0.17823	0.63333	0.59275	0.4512	0.77742	0.03926	0.70698	0.024517	0.026745	0.035959	0.62582	0.64602	0.5716	0.053628	0.62888	0.55763	0.92514	0.57583	0.62303	0.027617	0.70128	0.03786	0.044729	0.9657	0.067134	0.56987	0.31417	0.035185
Meth__cg21092462__KCNH1	0.046638	0.03681	0.3275	0.32301	0.15475	0.061643	0.22267	0.14994	0.18492	0.42183	0.26013	0.21687	0.56402	0.2616	0.086514	0.042716	0.18218	0.032147	0.17265	0.10291	0.17479	0.064897	0.29235	0.52129	0.074399	0.12443	0.36941	0.060483	0.033914	0.061194	0.32661	0.30498	0.28611	0.35525	0.12514	0.094632	0.13817	0.096902
EA_G__OXCT1	7.2396	3.8296	8.3114	8.4114	6.6974	7.6963	5.013	7.1334	8.0745	5.189	6.4591	8.9635	7.5756	7.5346	8.2972	6.5524	9.2401	7.5998	4.8802	6.6138	7.6144	8.2942	6.3135	6.3182	7.2839	6.4151	7.5831	3.8325	7.0297	6.6852	8.4107	4.7164	6.7266	4.0608	4.1641	7.1322	7.5781	6.675
Meth__cg19356189__KLK10	0.11129	0.082353	0.92857	0.41018	0.39302	0.11997	0.24895	0.34246	0.32816	0.078506	0.5566	0.91555	0.57589	0.24072	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.90827	0.22113	0.14488	0.12476	0.41859	0.12415	0.20444	0.11531	0.24514	0.0795	0.10198	0.21146	0.44753	0.71902	0.13391	0.13097	0.15143	0.13023
Meth__cg07448499__CTSH	0.083849	0.45002	0.086418	0.3481	0.16731	0.4902	0.64087	0.10888	0.076454	0.11554	0.093154	0.10081	0.12319	0.11014	0.10981	0.08985	0.094523	0.13918	0.31157	0.12256	0.39036	0.41827	0.082408	0.30371	0.55621	0.17661	0.19431	0.14369	0.09067	0.052864	0.093978	0.48334	0.064184	0.1009	0.17504	0.087278	0.077933	0.12365
EA_G__CDCP1	8.534	6.3089	8.9565	8.0251	7.65	4.5396	7.6241	9.0594	7.5934	7.5561	6.2779	9.1124	8.9327	8.5008	9.5947	6.558	8.4237	4.6847	5.0267	5.1655	8.1914	4.6864	7.5262	8.0631	7.9998	6.7411	8.0166	6.3926	10.3823	8.3255	9.0246	5.3489	7.6336	7.2998	7.685	8.3503	7.7927	7.2571
Meth__cg19769182__PRRT2	0.037045	0.29785	0.96693	0.40754	0.032196	0.092293	0.24132	0.1436	0.95666	0.0377	0.30117	0.95604	0.89284	0.60145	0.45075	0.13072	0.48187	0.38093	0.052162	0.036646	0.035122	0.039123	0.038944	0.51508	0.091804	0.12661	0.18863	0.44018	0.029273	0.03873	0.83291	0.036698	0.30502	0.95193	0.074698	0.084018	0.065829	0.053215
Meth__cg18799866__SLC9A7	0.58096	0.035449	0.048425	0.047203	0.36135	0.027403	0.050901	0.035611	0.29861	0.017432	0.96996	0.53136	0.3449	0.22732	0.51996	0.032104	0.34706	0.030995	0.017329	0.042731	0.54051	0.29026	0.53182	0.090909	0.038588	0.21771	0.40973	0.42979	0.57316	0.02896	0.63887	0.051683	0.037908	0.054901	0.029277	0.45779	0.14227	0.028815
Meth__cg02992632__FGF12	0.053696	0.039929	0.88949	0.047491	0.037733	0.2858	0.046329	0.13297	0.62441	0.040211	0.30802	0.089996	0.27615	0.46875	0.045789	0.7518	0.18002	0.18992	0.03752	0.039647	0.045741	0.080511	0.036344	0.38926	0.047756	0.091996	0.59197	0.063586	0.078201	0.049365	0.1015	0.066135	0.54854	0.04821	0.05356	0.59911	0.04959	0.047053
EA_G__PGM1	7.8898	8.6544	7.9477	6.894	5.8824	8.622	4.6605	7.3383	10.4094	6.4397	8.8014	8.8727	8.9912	7.8702	8.6363	7.5637	9.1468	8.202	6.5508	6.1904	7.3897	7.7642	6.6494	8.2013	6.8272	5.1604	7.7994	8.4064	8.5244	9.113	8.4196	4.5141	7.6432	8.3836	7.488	8.3279	8.1875	7.4485
Meth__cg17803089__FANCE	0.048114	0.055721	0.88901	0.87025	0.10841	0.60572	0.14836	0.55885	0.36952	0.1257	0.25146	0.59345	0.80312	0.31428	0.42465	0.062197	0.92507	0.072333	0.12836	0.058791	0.057908	0.056709	0.26112	0.27816	0.81446	0.11951	0.56634	0.086289	0.040876	0.060325	0.70946	0.34105	0.28035	0.16128	0.14317	0.082691	0.28729	0.20304
Meth__cg25092328__PXMP4	0.044222	0.045294	0.049441	0.89603	0.59255	0.31103	0.083673	0.036136	0.64542	0.061511	0.53938	0.5809	0.53962	0.66569	0.042064	0.038839	0.89714	0.055342	0.04602	0.050468	0.036922	0.042638	0.034108	0.07076	0.44422	0.093869	0.064818	0.087793	0.045192	0.04262	0.043641	0.04471	0.036054	0.074453	0.10053	0.89752	0.046594	0.55754
Meth__cg17710288__NPM3	0.11016	0.1261	0.21759	0.10602	0.11027	0.054491	0.10861	0.057854	0.091743	0.13579	0.1747	0.15485	0.80216	0.23987	0.098165	0.10227	0.15493	0.11954	0.074062	0.07354	0.084078	0.072596	0.068883	0.071213	0.06584	0.19888	0.14697	0.18954	0.076607	0.084053	0.093909	0.093259	0.70425	0.090115	0.11316	0.11169	0.9156	0.87684
Meth__cg26763524__FDX1	0.089277	0.066323	0.21215	0.68926	0.54487	0.07953	0.45331	0.52918	0.46097	0.32301	0.062766	0.47185	0.31148	0.42784	0.10186	0.054111	0.15785	0.077635	0.25079	0.13623	0.26207	0.08044	0.11262	0.077934	0.14088	0.14805	0.61526	0.12728	0.055952	0.05968	0.33532	0.57969	0.52991	0.34929	0.22946	0.18271	0.33126	0.25504
Meth__cg15065896__GOLGA4	0.068394	0.050351	0.053935	0.049893	0.044561	0.58638	0.063921	0.061031	0.048247	0.057754	0.052671	0.04398	0.075534	0.058446	0.053166	0.059259	0.069867	0.049051	0.042313	0.059974	0.056542	0.068704	0.062937	0.10442	0.056308	0.095189	0.065247	0.064077	0.048019	0.054576	0.043191	0.05707	0.046079	0.042394	0.096722	0.054735	0.049081	0.059491
EA_G__LOC342897	6.8877	9.3215	7.5298	6.5232	6.405	6.341	6.1959	5.9222	7.6628	6.4283	6.2297	7.9023	6.4686	8.5321	6.0562	6.1129	9.8111	6.3895	6.4818	6.8347	6.4992	6.3021	7.7221	6.2784	6.5222	7.442	7.3158	8.7168	6.8808	6.9333	6.6187	6.6136	9.7598	7.336	6.8452	7.8893	7.4687	6.4656
Meth__cg08560942__ACHE	0.03743	0.025572	0.050649	0.093884	0.054734	0.039465	0.37955	0.035747	0.12569	0.039174	0.05646	0.050926	0.086077	0.12257	0.03429	0.038303	0.18262	0.037336	0.046157	0.043853	0.05615	0.033182	0.041132	0.32161	0.052203	0.076745	0.16042	0.060819	0.041409	0.056592	0.046019	0.038762	0.046194	0.24965	0.12105	0.049778	0.043637	0.029181
Meth__cg17602451__BCL2	0.063162	0.035492	0.95173	0.055695	0.10524	0.95404	0.070302	0.14865	0.21232	0.038886	0.93365	0.79234	0.74046	0.21557	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.038418	0.94636	0.10622	0.90867	0.054939	0.094513	0.93449	0.1315	0.40849	0.21134	0.57873	0.50248	0.69178	0.94823	0.16002	0.61579	0.047757	0.042401
