Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg08307092__HIST1H3D	0.061629	0.050571	0.16676	0.059566	0.038435	0.048571	0.049651	0.057303	0.042057	0.065416	0.52174	0.026705	0.14652	0.054844	0.053239	0.042894	0.10777	0.04346	0.070562	0.052563	0.072049	0.54993	0.09435	0.08998	0.061159	0.058315	0.049201	0.054458	0.06634	0.058946	0.071748	0.66256	0.26033	0.063768	0.065949	0.081375
Meth__cg11815363__KCNK1	0.02155	0.020232	0.024426	0.023535	0.012193	0.58716	0.022916	0.018469	0.020117	0.020861	0.03828	0.018066	0.043007	0.022309	0.019794	0.018045	0.024611	0.019451	0.030801	0.015775	0.01929	0.47831	0.025133	0.031295	0.031588	0.028687	0.022539	0.013953	0.020523	0.013123	0.016349	0.0099319	0.52391	0.024286	0.01813	0.02053
Meth__cg02589695__RASSF5	0.033423	0.10272	0.24451	0.07987	0.16825	0.57948	0.3717	0.69831	0.87714	0.085363	0.71149	0.564	0.59981	0.71273	0.52476	0.37618	0.34421	0.32223	0.22419	0.2147	0.58038	0.089552	0.06118	0.10929	0.26957	0.16174	0.13109	0.56875	0.2497	0.15757	0.1398	0.71408	0.11908	0.12251	0.097257	0.35475
Meth__cg04609859__HOXB4	0.93434	0.03755	0.044684	0.64059	0.036734	0.031238	0.82236	0.87354	0.48533	0.42034	0.32749	0.94638	0.73548	0.41116	0.11962	0.030202	0.074571	0.44629	0.89809	0.69944	0.28431	0.75829	0.63583	0.04459	0.48567	0.070417	0.29009	0.036709	0.21774	0.38674	0.043763	0.048776	0.72442	0.10772	0.47201	0.83944
Meth__cg18995088__CXCL14	0.13009	0.06522	0.51623	0.87864	0.73717	0.789	0.75714	0.13569	0.057038	0.94561	0.94576	0.082846	0.92983	0.076088	0.037238	0.14212	0.077735	0.021312	0.94705	0.96279	0.067882	0.54491	0.17306	0.040077	0.70948	0.061764	0.08888	0.040494	0.031228	0.95868	0.025394	0.5601	0.70953	0.043346	0.91229	0.95595
Meth__cg03285457__LBX1	0.88088	0.04661	0.9154	0.92342	0.088791	0.91632	0.89901	0.87334	0.052333	0.91226	0.87703	0.76905	0.77911	0.055859	0.24284	0.030732	0.16503	0.044248	0.91707	0.88542	0.068729	0.72429	0.31392	0.14946	0.8652	0.14027	0.1628	0.056994	0.07475	0.047265	0.041954	0.87841	0.87731	0.72964	0.87841	0.79279
Meth__cg07122126__ZNF8	0.045161	0.038274	0.044571	0.040057	0.032817	0.030888	0.046656	0.033645	0.025093	0.032945	0.048973	0.016527	0.092048	0.030031	0.03259	0.036177	0.088221	0.030601	0.03495	0.038117	0.047536	0.12296	0.04588	0.050496	0.10233	0.048431	0.034987	0.035267	0.027735	0.028342	0.031788	0.030564	0.055031	0.040161	0.035443	0.28408
Meth__cg09381701__SASH1	0.035678	0.030304	0.053907	0.039388	0.027615	0.038003	0.037649	0.032478	0.032835	0.0355	0.037669	0.026992	0.05763	0.041359	0.034332	0.037578	0.072586	0.028395	0.039494	0.040808	0.038617	0.067632	0.92815	0.074763	0.071267	0.07835	0.086373	0.030731	0.031557	0.032763	0.034464	0.029163	0.061205	0.03888	0.040085	0.054784
Meth__cg18652941__CD44	0.042852	0.023814	0.034297	0.045643	0.020994	0.024227	0.19243	0.054085	0.023441	0.030333	0.05896	0.015854	0.047765	0.041342	0.030591	0.026599	0.06252	0.019217	0.074211	0.031779	0.037259	0.056568	0.043569	0.036713	0.80789	0.048337	0.029091	0.029787	0.028107	0.41287	0.030579	0.18408	0.051927	0.028694	0.026179	0.76409
Meth__cg04384398__PMM1	0.48314	0.10346	0.10822	0.22334	0.15646	0.1037	0.11937	0.067889	0.14876	0.17394	0.10641	0.28099	0.21155	0.11536	0.17215	0.058596	0.22008	0.11243	0.13149	0.15339	0.1097	0.15127	0.66434	0.15043	0.10964	0.14525	0.12365	0.1144	0.14811	0.21443	0.063595	0.093929	0.26289	0.15776	0.17906	0.17426
Meth__cg02676865__UBTD1	0.071118	0.89832	0.11829	0.96518	0.82476	0.041939	0.85065	0.67022	0.067923	0.69974	0.077852	0.0956	0.18566	0.080167	0.079763	0.057481	0.096762	0.039126	0.96045	0.9357	0.072519	0.65784	0.93217	0.099961	0.13725	0.93632	0.51974	0.044783	0.049362	0.077008	0.087289	0.94575	0.056561	0.078638	0.25741	0.94383
SNP__MGAM	0.006	-2.204	0.186	0.355	0.322	-0.135	0.422	0.042	0.426	0.305	0.402	-0.251	-0.206	0.267	0.465	0.018	0.485	0.239	0.196	0.089	0.122	-0.145	-0.041	0.191	-0.409	-1.689	0.526	-3.317	-0.006	-0.234	-0.327	-0.287	-0.321	-0.317	-0.042	0.028
Meth__cg06713098__IGFBP3	0.03977	0.033595	0.97696	0.05374	0.028293	0.027732	0.036967	0.077203	0.024286	0.26698	0.89944	0.02949	0.064432	0.033609	0.046272	0.039446	0.077294	0.023696	0.67903	0.23574	0.038864	0.60492	0.66867	0.069609	0.62856	0.092188	0.050971	0.028929	0.60954	0.025836	0.035426	0.67649	0.53862	0.033439	0.037138	0.03299
Meth__cg23917399__TNFAIP8	0.96369	0.77156	0.05625	0.60082	0.34349	0.14994	0.96867	0.043999	0.035041	0.78782	0.053638	0.027591	0.58199	0.044866	0.041288	0.040253	0.094002	0.045908	0.58048	0.52492	0.61861	0.93751	0.96692	0.44208	0.64782	0.36093	0.7711	0.03494	0.050161	0.97178	0.037809	0.97349	0.089825	0.45205	0.96513	0.95622
Meth__cg22734480__ABHD8	0.023382	0.024602	0.024558	0.17105	0.018577	0.024353	0.021812	0.37772	0.017145	0.021224	0.49113	0.024866	0.055697	0.02072	0.02463	0.018943	0.038957	0.017008	0.86992	0.031092	0.1362	0.031668	0.7146	0.044356	0.052516	0.027495	0.022536	0.022624	0.029835	0.022555	0.019658	0.026796	0.027504	0.033795	0.033801	0.86602
Meth__cg02624129__SNX19	0.15494	0.059795	0.24163	0.18689	0.03759	0.032492	0.24075	0.13972	0.059148	0.17755	0.92744	0.12543	0.83542	0.077515	0.16842	0.24247	0.12115	0.036777	0.23392	0.21612	0.073111	0.11312	0.14277	0.086248	0.16097	0.15927	0.26244	0.076312	0.025434	0.14708	0.048436	0.22558	0.086632	0.041475	0.16494	0.18965
Meth__cg06252382__SLC31A2	0.1311	0.042777	0.21733	0.67747	0.52699	0.22773	0.57259	0.12955	0.030606	0.10514	0.48634	0.093404	0.087098	0.033518	0.098846	0.40811	0.10841	0.41779	0.73913	0.73849	0.098875	0.69174	0.31305	0.091714	0.85009	0.039798	0.04632	0.031828	0.051191	0.54852	0.032139	0.25864	0.12335	0.1048	0.26988	0.91159
Meth__cg00744433__CXADR	0.6776	0.055196	0.065423	0.67523	0.41204	0.82627	0.40167	0.36912	0.065359	0.10078	0.13918	0.18319	0.31677	0.069799	0.10036	0.055801	0.11555	0.082476	0.74362	0.71393	0.078513	0.21277	0.80919	0.71849	0.16858	0.17533	0.78153	0.047712	0.068662	0.83467	0.055928	0.49955	0.15277	0.077679	0.39137	0.58026
Meth__cg12238343__RLN3R1	0.91442	0.01538	0.89938	0.72838	0.14761	0.07689	0.92635	0.92105	0.033021	0.078211	0.89511	0.19427	0.89144	0.024021	0.047601	0.028474	0.07899	0.2964	0.8457	0.77787	0.020643	0.83527	0.65984	0.22034	0.59539	0.024673	0.05385	0.15472	0.064499	0.02207	0.035116	0.22411	0.45755	0.036575	0.67792	0.79764
Meth__cg04970117__SLC6A20	0.93259	0.035729	0.90868	0.43629	0.58236	0.8895	0.96842	0.60351	0.024633	0.979	0.29665	0.2883	0.96487	0.021016	0.95635	0.028054	0.10192	0.096087	0.98238	0.97074	0.051796	0.95151	0.96299	0.092067	0.95375	0.061897	0.3956	0.027538	0.5821	0.55218	0.020785	0.96721	0.77139	0.034661	0.62104	0.96997
