Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.6378	2.8629	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	2.0514	2.0133	2.6182	1.9024	4.1572	2.0164
Meth__cg01151699__CACNG2	0.10254	0.052545	0.072727	0.084303	0.06527	0.46665	0.69083	0.08121	0.11266	0.29098	0.37544	0.061382	0.058039	0.05928	0.12227	0.28694	0.061132	0.097848	0.43443	0.045748	0.83529	0.062753	0.74103	0.092317	0.062981	0.060345	0.097116	0.095286	0.069349	0.086593	0.11605	0.059938
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	8.3035	7.0863	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	9.1787	7.8424	7.1251	7.997	8.3349	8.7783	8.8604	5.6995	8.5107
Meth__cg20308511__SAT	0.41702	0.071116	0.045164	0.21502	0.040019	0.058896	0.069431	0.40514	0.047895	0.3629	0.056394	0.40704	0.042056	0.045696	0.34774	0.438	0.038454	0.06553	0.39588	0.32715	0.097292	0.040937	0.12389	0.34705	0.34999	0.048693	0.026101	0.088157	0.28953	0.22345	0.42105	0.050049
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	3.5335	5.9593	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	0.13271	1.6897	3.5037	3.0254	7.1711	4.1739	3.1378	0.99985	6.8705	2.3588	2.4602	2.8818	4.0823	4.0691	5.9758	5.0319
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	1.0625	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	0	1.3205	0	6.7313	0.074104	0	0	1.1689	0.54354	0	0	0	0	0.9357	0.40834
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	3.8349	7.5226	3.8995	4.0819	5.3611	6.2556	0.2605	0.45353	0	6.3004	5.1009	0.39899	3.2356	1.2838	4.3141	1.0845	5.2935	0.46695	9.9153	6.0218	0.43923	3.059	1.7506	0.67561	1.8815
Meth__cg04037228__LIMD1	0.10509	0.072787	0.23712	0.90778	0.1224	0.43341	0.18754	0.91862	0.30445	0.93146	0.30373	0.36375	0.086752	0.058434	0.092965	0.64883	0.59891	0.23516	0.81898	0.7815	0.075989	0.28292	0.086852	0.094472	0.30558	0.063225	0.03947	0.21968	0.87559	0.074401	0.46123	0.060777
Meth__cg15800421__CCR10	0.063282	0.68288	0.54481	0.087386	0.047359	0.41267	0.047096	0.061213	0.072406	0.52434	0.67607	0.80753	0.6879	0.088762	0.10737	0.057732	0.85728	0.83672	0.24756	0.308	0.077042	0.82966	0.58134	0.55084	0.054517	0.058548	0.66671	0.12519	0.15676	0.58494	0.2834	0.45362
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	1.6114	3.6444	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	4.2711	2.3894	5.3274	2.0977	0.47368	1.1167
Meth__cg25340403__LYPD3	0.041991	0.035241	0.052266	0.20651	0.83676	0.058992	0.47752	0.15438	0.42546	0.079824	0.18769	0.030084	0.30018	0.66495	0.076535	0.83915	0.03933	0.037908	0.2338	0.035903	0.7884	0.036387	0.26306	0.040486	0.82379	0.028007	0.02642	0.0736	0.040626	0.040225	0.27833	0.044181
Meth__cg04893119__PI15	0.77355	0.075998	0.56548	0.096756	0.49656	0.14649	0.63203	0.40414	0.093759	0.26595	0.216	0.13487	0.44961	0.72807	0.20727	0.25308	0.088683	0.2787	0.82845	0.26577	0.58963	0.12713	0.10439	0.078378	0.50927	0.64908	0.058219	0.10187	0.087666	0.18581	0.24898	0.10349
RS_G3849__UPK2__UPK2	1.2179	2.5918	2.4864	2.9857	2.6149	1.444	2.281	2.428	2.8133	4.5908	3.0002	1.8	1.4478	0	3.7605	0	8.8632	6.3477	1.2022	6.0449	1.1257	4.7025	2.0134	0.63424	0.47434	5.77	3.8374	6.7099	8.458	0.91701	0	2.3886
Meth__cg24146183__JMJD2D	0.027103	0.016529	0.020077	0.026508	0.022029	0.0267	0.038286	0.028317	0.013841	0.018368	0.019469	0.026437	0.012123	0.014867	0.031603	0.018375	0.021361	0.02426	0.030684	0.024886	0.03148	0.023596	0.022463	0.018681	0.029659	0.030902	0.018312	0.018174	0.01919	0.021137	0.030936	0.022867
Meth__cg16691616__INPP1	0.020083	0.050768	0.021568	0.022434	0.60404	0.029176	0.019081	0.027808	0.023092	0.036357	0.19616	0.030259	0.5702	0.01994	0.042406	0.018767	0.034009	0.034323	0.038597	0.089252	0.027849	0.022019	0.34971	0.041232	0.055988	0.11605	0.91339	0.68588	0.033032	0.034672	0.034915	0.028064
Meth__cg19258882__ERBB3	0.039942	0.036267	0.063007	0.066172	0.13329	0.047175	0.056798	0.071361	0.046058	0.17765	0.071405	0.026029	0.076534	0.088053	0.031152	0.14355	0.06331	0.03822	0.37777	0.041971	0.12185	0.038808	0.051876	0.044444	0.068946	0.071797	0.037677	0.060111	0.049906	0.03682	0.08142	0.037791
RS_G4761__ACTL8__ACTL8	0	4.1513	0	0.49839	1.8156	1.7294	1.7722	1.0987	9.1407	2.2249	0.82274	0	0	0	4.9166	0.76598	5.2179	2.0632	0.71367	4.2102	0.46473	2.0947	1.0879	1.4646	0	4.7146	2.758	2.3907	1.9083	4.9194	3.6359	4.9693
Meth__cg06245154__ERCC2	0.042574	0.038419	0.15804	0.065941	0.031389	0.096654	0.096829	0.17459	0.039395	0.13323	0.047642	0.053749	0.038694	0.04537	0.09918	0.035283	0.047171	0.049577	0.18528	0.057487	0.20812	0.13315	0.064516	0.053655	0.043467	0.036117	0.071476	0.060899	0.04986	0.034141	0.1357	0.048961
Meth__cg09085198__ANKRD29	0.040243	0.17625	0.18386	0.1652	0.40969	0.078014	0.088618	0.033909	0.076877	0.040297	0.10224	0.036342	0.35459	0.10178	0.051772	0.026794	0.30355	0.094094	0.071355	0.24429	0.066667	0.19804	0.61081	0.10363	0.043896	0.029897	0.54116	0.08111	0.038248	0.091975	0.028609	0.072552
Meth__cg03109316__ZNF80	0.79014	0.032029	0.81772	0.3884	0.37761	0.63533	0.94863	0.33488	0.89647	0.8656	0.098093	0.047173	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.91522	0.93575	0.33508	0.057851	0.16853	0.041155	0.31333	0.56294	0.036595	0.10319	0.045468	0.2955	0.085003	0.23653
RS_G432__GRAMD1B__GRAMD1B	0.28829	2.1581	0.75376	1.1705	0	0	0	1.6006	0	1.8936	2.5773	0	1.7797	2.2565	1.6947	3.2005	2.4558	0.57275	0	4.9375	0	3.6724	1.0083	1.9518	0	3.5469	3.8339	1.0294	1.0115	1.8371	0	0.59182
Meth__cg08947964__CX62	0.56133	0.10784	0.76076	0.29949	0.083034	0.49223	0.79412	0.57106	0.45532	0.38835	0.39449	0.14286	0.23197	0.47268	0.1686	0.10347	0.12781	0.16117	0.84609	0.88186	0.3786	0.11973	0.47803	0.23397	0.43603	0.16323	0.56955	0.22949	0.21122	0.15323	0.30217	0.17074
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.17621	0.40256	0.073638	0.094149	0.1289	0.19328	0.08907	0.36464	0.063223	0.1571	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.44547	0.08313	0.12266	0.10698	0.081333	0.11472	0.081179	0.079984	0.050818	0.28035	0.52473	0.074087	0.22203	0.061239
RS_G5278__CSTA__CSTA	0.45526	1.7151	4.4625	1.6336	2.2838	0	0	4.8816	5.0285	6.5421	5.1336	0	5.5396	3.5366	8.6231	1.5014	2.5131	9.801	0	2.8632	0	3.0641	0.883	5.5628	0	6.7393	3.4916	2.8224	0	5.4387	0.85901	1.2257
Meth__cg04499325__EPDR1	0.077014	0.116	0.087889	0.070034	0.80282	0.077001	0.051107	0.067754	0.104	0.22625	0.80948	0.47102	0.91224	0.074991	0.25358	0.059216	0.74083	0.70783	0.32633	0.060115	0.14654	0.080195	0.84819	0.13837	0.065016	0.076479	0.90543	0.64669	0.082635	0.070885	0.12316	0.078135
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	3.0556	6.0929	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	5.1008	8.2175	3.9131	8.19	3.8247	5.6157	3.797	11.2439	4.1716	4.2778	3.1849	6.6946	6.6957	10.0126	3.2253	9.7217
Meth__cg17687883__MTHFD2	0.07894	0.028438	0.27386	0.18291	0.71266	0.45077	0.056454	0.13617	0.041355	0.047871	0.11538	0.46291	0.038392	0.046392	0.31776	0.63761	0.031223	0.061708	0.29805	0.029061	0.45879	0.049492	0.082901	0.039159	0.12127	0.14456	0.036905	0.28571	0.046695	0.036282	0.14372	0.043724
Meth__cg27279652__ITPR2	0.049027	0.065964	0.090572	0.043124	0.51022	0.058958	0.060128	0.036427	0.065351	0.02558	0.29924	0.027685	0.17278	0.045424	0.13092	0.036585	0.037843	0.05416	0.037102	0.055662	0.0757	0.11388	0.15701	0.11	0.03493	0.070939	0.36079	0.060323	0.034792	0.24915	0.086907	0.14887
Meth__cg10708793__LGP2	0.042488	0.36863	0.04641	0.036354	0.50574	0.031193	0.066507	0.37997	0.38723	0.030818	0.43719	0.026042	0.87251	0.038136	0.2201	0.04127	0.87859	0.87556	0.044707	0.039625	0.35133	0.35544	0.28787	0.25903	0.034011	0.037654	0.54054	0.032598	0.06946	0.43211	0.10922	0.86165
Meth__cg14520892__POLA	0.61299	0.20017	0.04567	0.43403	0.039164	0.060876	0.09978	0.6517	0.052943	0.76963	0.39867	0.25105	0.040861	0.081196	0.48999	0.49548	0.048336	0.065157	0.4987	0.48743	0.29449	0.46358	0.38125	0.55582	0.59827	0.066901	0.016481	0.051443	0.45509	0.36996	0.59598	0.046401
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	11.8487	10.0205	10.4344	10.7845	13.3398	10.3199	11.7062	10.6909	11.5127	7.1751	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	9.7862	8.7916	12.4549	9.7	10.1982	9.1015	9.4473	13.1989	12.2867
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.2405	3.3755	4.1543	2.745	0.87362	1.1634	0.66768	0.69552	0.91454	1.473	0.33275	2.7641	1.0672	9.5586	0.73502	0.39464	0	7.01	2.1102	0.65062	0	1.4999	1.1637	0.13806	0
Meth__cg26390526__FLG	0.8772	0.042521	0.85113	0.47975	0.066208	0.29524	0.66625	0.23887	0.1566	0.68885	0.54787	0.045537	0.20101	0.63357	0.11397	0.10871	0.10824	0.10746	0.62008	0.89128	0.77665	0.14884	0.19504	0.080599	0.31822	0.27513	0.43952	0.097436	0.32259	0.089027	0.074439	0.18012
Meth__cg00540544__CSRP1	0.052805	0.58463	0.034001	0.24706	0.61403	0.065253	0.051289	0.044918	0.55124	0.040902	0.12555	0.18352	0.045583	0.036929	0.073306	0.025514	0.67469	0.56619	0.03481	0.035234	0.059426	0.057306	0.13616	0.11627	0.034514	0.036143	0.13467	0.11392	0.041238	0.055111	0.14113	0.24582
Meth__cg00216361__GAP43	0.18379	0.030707	0.37669	0.038462	0.092419	0.60721	0.94297	0.044896	0.18937	0.71057	0.055361	0.05613	0.085214	0.036246	0.047988	0.32527	0.042178	0.03475	0.87407	0.045706	0.59274	0.047788	0.30754	0.08467	0.041953	0.31243	0.067612	0.0449	0.035752	0.17588	0.28977	0.36933
RS_G13222__KRT86__KRT86	11.2673	10.5962	1.9711	3.7791	1.8035	1.0905	3.1796	4.6903	9.0074	6.6936	7.2836	3.6764	8.9666	1.7662	3.6699	1.4093	8.6262	6.508	2.4463	11.8802	2.9576	8.4168	1.4122	7.8604	0.88888	11.8716	13.4224	3.4882	7.7233	4.8114	3.7855	2.5588
Meth__cg04733302__TTC18	0.067138	0.030458	0.0866	0.085997	0.065968	0.11834	0.88023	0.082706	0.093983	0.1956	0.15077	0.04637	0.074523	0.075105	0.11223	0.070866	0.067636	0.082955	0.075104	0.057917	0.10884	0.07829	0.1743	0.063786	0.38476	0.070754	0.095089	0.23301	0.068988	0.067047	0.11643	0.048474
Meth__cg23698956__FAM3A	0.48114	0.03006	0.062089	0.26421	0.057645	0.044084	0.30957	0.46471	0.029666	0.21617	0.080295	0.026824	0.32492	0.30358	0.06729	0.041901	0.022407	0.039891	0.4023	0.3983	0.14774	0.047523	0.15493	0.042655	0.4675	0.021653	0.12564	0.12133	0.55652	0.26731	0.44264	0.041738
Meth__cg09086761__MTA2	0.032082	0.047557	0.050598	0.051189	0.035229	0.053846	0.036764	0.027106	0.063843	0.060209	0.1122	0.054791	0.064777	0.082257	0.06497	0.022365	0.097366	0.076248	0.028277	0.043617	0.040943	0.036206	0.10892	0.042562	0.028758	0.018079	0.069334	0.059014	0.031825	0.035515	0.045184	0.064099
RS_G13473__C18orf4__C18orf4	2.916	0.19285	1.8636	0.81516	6.8813	2.0898	3.5813	0.85351	1.2471	0.70224	0.051857	2.0646	2.9336	0.30277	0.5877	5.6726	0.27885	0.83484	5.3935	0.6096	3.6129	0.593	0.79273	0.074512	4.3534	3.7589	3.8849	0.37249	0.51605	1.2527	0.96704	2.7154
Meth__cg24870391__CCL11	0.12551	0.040778	0.51023	0.48589	0.04363	0.15461	0.77013	0.29987	0.11842	0.53745	0.23622	0.053119	0.24709	0.69726	0.052604	0.059547	0.042172	0.059054	0.13298	0.34717	0.14744	0.03077	0.13186	0.079057	0.21707	0.033424	0.82968	0.077492	0.2501	0.13241	0.24457	0.064348
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.076622	0.075858	0.85085	0.42446	0.12346	0.12219	0.083322	0.078253	0.76807	0.096331	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.062661	0.074634	0.14823	0.06617	0.17348	0.62713	0.35593	0.28339	0.67116	0.19446	0.12456	0.32294	0.15958	0.67451
Meth__cg21717724__PSMD5	0.23575	0.12843	0.08866	0.18649	0.93545	0.61188	0.61714	0.63833	0.12859	0.22455	0.1264	0.089113	0.14981	0.084044	0.14588	0.27287	0.10255	0.105	0.5275	0.21644	0.86552	0.14558	0.14775	0.127	0.1007	0.13224	0.12712	0.21689	0.12831	0.2321	0.27026	0.22897
Meth__cg16762195__LGP2	0.029625	0.076357	0.043369	0.024755	0.14529	0.037691	0.033215	0.067469	0.1291	0.031151	0.15563	0.036015	0.33017	0.029089	0.060087	0.037444	0.41257	0.43414	0.030873	0.034823	0.16766	0.13311	0.12418	0.044272	0.029743	0.028521	0.10755	0.077834	0.034659	0.1682	0.12702	0.3161
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	0	3.5396	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	4.3933	0.55787	1.3527	7.8208	1.3018	2.9242	2.9131	0.36525	0.94339
Meth__cg12348970__SLC24A2	0.83027	0.061648	0.79221	0.62597	0.10536	0.83973	0.87984	0.42715	0.82377	0.65527	0.40965	0.086327	0.32367	0.84294	0.0694	0.12252	0.10511	0.11404	0.85765	0.86772	0.1592	0.16296	0.52326	0.12852	0.37765	0.78508	0.18968	0.12134	0.12283	0.50647	0.48994	0.49118
Meth__cg17965019__HIST1H3J	0.089058	0.068323	0.93572	0.71888	0.41718	0.64613	0.9509	0.93683	0.56476	0.048635	0.50866	0.95178	0.055505	0.05349	0.51427	0.95177	0.059262	0.083792	0.93724	0.61503	0.60071	0.44581	0.12698	0.098646	0.92441	0.92851	0.62882	0.72536	0.056051	0.058437	0.47374	0.06059
Meth__cg13352495__UNG2	0.038241	0.10524	0.13443	0.04498	0.36753	0.045717	0.10298	0.061494	0.25296	0.030903	0.27074	0.036668	0.29671	0.041917	0.086648	0.044006	0.42229	0.32339	0.050901	0.32602	0.088863	0.050732	0.1511	0.17052	0.03913	0.033127	0.35946	0.13602	0.04625	0.067786	0.14516	0.052924
Meth__cg18279742__RPS2	0.12967	0.11675	0.41185	0.2528	0.41985	0.084977	0.34238	0.12904	0.033473	0.87728	0.16553	0.2395	0.095382	0.15831	0.33494	0.54119	0.076029	0.035572	0.37749	0.31727	0.17222	0.44293	0.061158	0.14694	0.06356	0.048085	0.046995	0.05274	0.153	0.055039	0.33624	0.047881
RS_G7562__NOV__NOV	6.3991	0.7816	3.3497	1.5592	0.39352	0.80455	6.7812	0.15448	0	5.127	2.5802	0.97304	2.5852	1.0721	3.7115	8.1961	0.56584	0.57226	0	5.6987	6.3971	2.8916	1.217	0	8.2172	4.5959	0.69733	0.95114	1.2699	0.76414	7.1356	0
Meth__cg20856064__PH-4	0.10517	0.094487	0.098913	0.077829	0.48178	0.11523	0.06021	0.13376	0.95499	0.13763	0.96031	0.10723	0.81946	0.13443	0.10375	0.052212	0.097245	0.1032	0.082141	0.096141	0.094157	0.12818	0.14943	0.28219	0.091672	0.10911	0.060061	0.18175	0.099358	0.1118	0.12772	0.14092
Meth__cg07639720__BNC1	0.70259	0.15118	0.18854	0.50791	0.33556	0.86212	0.84776	0.8318	0.60121	0.17163	0.45326	0.084565	0.14814	0.035921	0.075965	0.22299	0.49725	0.78595	0.42252	0.57083	0.83083	0.60236	0.29475	0.14946	0.19236	0.047625	0.17807	0.39291	0.075212	0.24006	0.45664	0.20858
Meth__cg17718302__HIST1H3J	0.037683	0.030638	0.96437	0.71745	0.15351	0.56176	0.9659	0.94635	0.5356	0.029211	0.50223	0.94708	0.030692	0.025689	0.35911	0.68555	0.023484	0.036968	0.95356	0.60413	0.49521	0.36821	0.092789	0.057543	0.82455	0.9675	0.38567	0.48105	0.035367	0.040732	0.2224	0.034055
Meth__cg17261830__NEK9	0.021358	0.96261	0.029672	0.02837	0.58704	0.028979	0.08221	0.024946	0.97198	0.025677	0.36949	0.71198	0.020546	0.033362	0.060063	0.026262	0.70664	0.74043	0.021969	0.18543	0.045166	0.027055	0.061259	0.088546	0.014715	0.021125	0.026666	0.041449	0.022805	0.39493	0.52464	0.029837
Meth__cg24127989__IMPDH1	0.036357	0.021158	0.035781	0.040831	0.4554	0.02838	0.67278	0.17844	0.082511	0.89264	0.31292	0.019537	0.31138	0.043122	0.074263	0.24567	0.022575	0.095494	0.11955	0.035317	0.42855	0.034043	0.046959	0.030549	0.47524	0.022835	0.029738	0.048071	0.055723	0.037517	0.12591	0.03191
Meth__cg03257423__ZNF228	0.19231	0.048723	0.24008	0.050928	0.11711	0.25922	0.2363	0.049112	0.34574	0.10477	0.11085	0.049055	0.047977	0.039864	0.18199	0.060764	0.047006	0.043642	0.28043	0.037258	0.10387	0.044891	0.073371	0.056568	0.052932	0.17765	0.092155	0.13542	0.056549	0.051964	0.28062	0.053373
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	10.1898	6.9323	11.3166	11.978	7.0419	7.8671	9.0157	9.3554	10.1335	11.149	10.4301	15.2047	9.4841	10.5959	11.1601	10.8596	8.7887	8.7105	7.5246	9.6678	8.5391	10.1398	11.3211	11.0685	11.0084
Meth__cg27561006__PRCP	0.24234	0.092568	0.18754	0.11947	0.075802	0.19359	0.093227	0.17429	0.088223	0.32218	0.20087	0.10814	0.12094	0.060065	0.13934	0.11275	0.11652	0.096473	0.2068	0.119	0.22218	0.15369	0.19801	0.15556	0.11961	0.063056	0.049369	0.28457	0.12571	0.19197	0.28484	0.17417
Meth__cg22619563__EPHA3	0.043238	0.03572	0.11769	0.051241	0.042585	0.056872	0.21423	0.041912	0.058902	0.069588	0.24519	0.036037	0.040372	0.040104	0.14689	0.38114	0.032536	0.039594	0.40042	0.033881	0.20165	0.042223	0.074226	0.060577	0.053806	0.034188	0.52317	0.18045	0.051377	0.045428	0.3477	0.047561
Meth__cg00563229__XKR8	0.028792	0.023075	0.78498	0.1583	0.82176	0.026016	0.031836	0.041147	0.019674	0.016322	0.074588	0.024507	0.018356	0.022186	0.033173	0.22642	0.022607	0.021283	0.061208	0.031093	0.116	0.028559	0.054799	0.043743	0.16479	0.01659	0.021652	0.057671	0.033466	0.033403	0.080502	0.016299
Meth__cg05471521__STK6	0.10839	0.033109	0.060583	0.20667	0.16907	0.80528	0.39571	0.40736	0.077194	0.54686	0.12352	0.66486	0.092816	0.064812	0.1117	0.08804	0.055467	0.040709	0.18961	0.11223	0.18837	0.21594	0.1334	0.068996	0.11785	0.051183	0.14528	0.17021	0.65462	0.051711	0.25611	0.090803
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.58833	0.25853	0.23263	0.90971	0.32777	0.038854	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.16437	0.68549	0.14942	0.15459	0.12561	0.26386	0.072957	0.19423	0.089229	0.049258	0.16207	0.14448	0.11802
RS_G8454__PADI3__PADI3	0.46584	6.8211	0.54552	2.2372	0.43485	0.3183	0	1.9093	0	5.4543	9.8003	0.55591	2.9407	1.0326	0.40476	0.42128	6.6389	2.5696	1.7243	6.681	0.35983	0.59354	0.41031	4.097	0.41693	0.315	6.8956	7.7006	4.0201	2.2637	0.097619	0.52515
Meth__cg18108623__FLJ34922	0.52587	0.047571	0.91194	0.44684	0.040587	0.87042	0.44943	0.83359	0.19178	0.21032	0.60872	0.089523	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.36355	0.87113	0.57632	0.84745	0.10458	0.53508	0.45835	0.55394	0.40836	0.062218	0.2376	0.78113	0.10762
Meth__cg24012925__SRXN1	0.050023	0.0451	0.17578	0.052594	0.052255	0.07719	0.13862	0.063853	0.055148	0.092252	0.057688	0.033539	0.038842	0.050779	0.074825	0.038497	0.032214	0.054045	0.045237	0.052727	0.068253	0.050267	0.062277	0.088528	0.05543	0.045392	0.030097	0.076538	0.04704	0.041267	0.079753	0.044257
Meth__cg17456704__ZNF625	0.10655	0.10475	0.10674	0.099169	0.13367	0.10676	0.21407	0.11666	0.95655	0.09963	0.52892	0.11435	0.80277	0.099196	0.14544	0.10664	0.83574	0.48342	0.1131	0.13935	0.2865	0.096139	0.51588	0.17957	0.11581	0.42613	0.18392	0.1201	0.12093	0.15952	0.15563	0.25175
Meth__cg07231132__TMEM92	0.028297	0.061007	0.78535	0.080146	0.03376	0.044485	0.031739	0.031917	0.043065	0.074816	0.13989	0.035052	0.17616	0.035955	0.10307	0.032416	0.046046	0.081453	0.055244	0.044637	0.057646	0.1929	0.11258	0.16408	0.024466	0.030971	0.12718	0.076446	0.057277	0.088895	0.033396	0.11525
Meth__cg15639045__SLC16A11	0.042255	0.69664	0.090577	0.04616	0.57759	0.54115	0.42466	0.050149	0.92871	0.53107	0.8592	0.032248	0.86783	0.53228	0.48241	0.035962	0.54867	0.57126	0.073457	0.052023	0.31752	0.41117	0.073142	0.6487	0.22265	0.10489	0.74025	0.074734	0.050864	0.16575	0.078605	0.62163
