Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg04740359__NTF3	0.67843	0.38991	0.8808	0.76061	0.11359	0.61325	0.82815	0.12563	0.82837	0.88698	0.19111	0.47189	0.36413	0.068614	0.034691	0.5113	0.55215	0.14016	0.7022	0.18697	0.75567	0.1662	0.34877	0.059185	0.30848	0.27146	0.12815	0.2039	0.19684	0.31254
Meth__cg25687894__ACLY	0.039677	0.18905	0.059105	0.055697	0.086215	0.075374	0.054265	0.20165	0.061056	0.075339	0.40515	0.048151	0.18887	0.11718	0.11429	0.31244	0.084932	0.23828	0.051431	0.10175	0.067483	0.11306	0.40117	0.04673	0.05763	0.068683	0.068385	0.05567	0.071239	0.06853
Meth__cg17178888__FLJ14166	0.037024	0.036153	0.041336	0.032211	0.96278	0.90582	0.032903	0.038652	0.042942	0.025061	0.12781	0.040603	0.043327	0.062198	0.61216	0.038137	0.04295	0.54887	0.038531	0.0553	0.040034	0.90166	0.054822	0.038252	0.028591	0.74384	0.060062	0.038496	0.12007	0.1259
RS_G6274__KLK10__KLK10	0.71878	0.20625	1.3396	1.2238	0	0.62219	9.15	2.0282	2.7793	10.9516	1.8961	6.979	0.22273	3.3567	0.33246	2.017	0.95155	0.44609	7.4633	0.22033	1.1275	0.28013	0.27978	1.6485	7.2578	0	4.1029	4.0939	1.8135	0.42331
RS_G178__GAS7__GAS7	0.23393	0.79868	3.7512	0.60208	0.060325	0.26435	0.4579	0.58061	7.4591	3.7882	3.5067	2.8269	0.42668	0.02884	0.46526	0.091648	0.1238	0.83713	5.9946	0.059891	0.18529	0.057997	0.11579	0.34439	5.4391	3.5497	2.8263	4.9676	0.13361	0.17756
Meth__cg20935106__TAPBPL	0.077072	0.20905	0.079943	0.077808	0.8081	0.20802	0.12218	0.1115	0.083575	0.077529	0.33653	0.50585	0.066217	0.12103	0.067009	0.47766	0.097426	0.12281	0.06997	0.13294	0.13163	0.11558	0.096406	0.40479	0.064817	0.38464	0.14483	0.084577	0.34523	0.7481
Meth__cg01667702__TRAPPC1	0.056086	0.093665	0.23535	0.12356	0.041146	0.096364	0.099384	0.076868	0.14167	0.76621	0.082978	0.12527	0.053302	0.088277	0.05771	0.068763	0.049359	0.10977	0.12843	0.051052	0.075316	0.15968	0.070067	0.11255	0.098483	0.060585	0.20306	0.094997	0.082504	0.063562
Meth__cg12970724__CRLF1	0.18414	0.1995	0.2333	0.15144	0.14997	0.26664	0.11832	0.22066	0.1635	0.21525	0.91856	0.77523	0.16088	0.18223	0.24064	0.97925	0.96566	0.74539	0.1744	0.57247	0.16081	0.96139	0.2138	0.19945	0.15515	0.91115	0.11842	0.96535	0.16404	0.17979
Meth__cg11221265__SDHC	0.026522	0.020402	0.032742	0.022857	0.024752	0.034476	0.023156	0.036087	0.032121	0.02016	0.04643	0.027934	0.026692	0.064613	0.028136	0.02864	0.047406	0.038643	0.023267	0.26647	0.051612	0.039031	0.023546	0.035436	0.017798	0.028829	0.026788	0.035793	0.02559	0.030988
Meth__cg13316191__CDCA7L	0.036725	0.03728	0.046312	0.052245	0.21728	0.043425	0.028665	0.050382	0.03762	0.020126	0.14756	0.4137	0.057773	0.0481	0.045381	0.050108	0.072289	0.17402	0.023778	0.11664	0.041512	0.051616	0.86333	0.036727	0.025335	0.029641	0.026715	0.047918	0.031644	0.03672
RS_G13448__KRT15__KRT15	5.6084	7.3499	6.7924	10.1044	1.6019	2.1401	8.8359	6.5404	9.0315	10.5476	12.5316	9.7623	1.8575	5.6722	2.3194	4.8297	3.9225	3.523	9.0893	2.5715	3.421	2.6323	2.157	5.7716	4.1064	5.9218	8.0833	5.988	5.8624	6.6787
Meth__cg01095590__KIAA0040	0.028452	0.026931	0.02563	0.022823	0.92582	0.030997	0.031168	0.030684	0.030579	0.022806	0.045503	0.039101	0.22651	0.090518	0.502	0.030534	0.034044	0.036538	0.02312	0.11642	0.032536	0.04714	0.066512	0.02897	0.021514	0.023304	0.070516	0.037211	0.027863	0.029322
RS_G12982__SPRR1B__SPRR1B	2.2988	0.63608	0	3.8097	1.4994	0	7.092	0	0.64046	7.6626	4.7816	0	0	4.001	0	0.69033	0	0	5.8907	0	1.214	1.092	1.1062	1.5367	5.0083	0	2.1888	3.3389	0	1.2275
Meth__cg12376406__FAM12B	0.24613	0.24563	0.22391	0.051872	0.032421	0.086803	0.92419	0.065627	0.41231	0.7754	0.45369	0.14298	0.075259	0.68987	0.0317	0.15275	0.0472	0.057054	0.34233	0.046628	0.063189	0.070482	0.046184	0.071768	0.22601	0.077638	0.1577	0.0877	0.097845	0.10616
RS_G3267__ITGB8__ITGB8	5.1564	0.27889	2.0303	3.4893	0.14738	0.36513	4.6975	2.3442	8.4305	4.1636	5.4276	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.36975	4.8645	0.53386	0.59803	0.30829	0.8868	5.8392	3.6533	1.0727	1.298	2.2218	0.45843	0.59579
Meth__cg18487515__ZNF342	0.031791	0.039582	0.028261	0.035825	0.64466	0.040621	0.025668	0.035974	0.035771	0.027136	0.13036	0.93579	0.027747	0.056545	0.75966	0.021764	0.042049	0.048196	0.021812	0.076582	0.037155	0.050013	0.038096	0.03139	0.020099	0.02961	0.056975	0.038914	0.034459	0.038648
Meth__cg22155248__TAPBPL	0.073721	0.77379	0.076622	0.075858	0.85085	0.42446	0.12346	0.12219	0.083322	0.078253	0.76807	0.7318	0.086836	0.16227	0.075643	0.56588	0.12621	0.062661	0.074634	0.14823	0.06617	0.17348	0.35593	0.28339	0.092512	0.67116	0.19446	0.12456	0.32294	0.67451
Meth__cg10245048__TNFRSF10A	0.05495	0.061891	0.057781	0.039848	0.44423	0.071079	0.033004	0.058477	0.050554	0.047024	0.11681	0.61982	0.048464	0.13701	0.071875	0.049466	0.059873	0.81596	0.036565	0.093719	0.061353	0.090141	0.055459	0.040233	0.055091	0.050737	0.059535	0.057366	0.044814	0.045251
Meth__cg00718513__	0.28091	0.04774	0.12325	0.38122	0.046487	0.06697	0.11187	0.12091	0.13058	0.11412	0.085273	0.075766	0.044891	0.059576	0.092951	0.066601	0.064197	0.054758	0.21622	0.10417	0.12465	0.10309	0.041052	0.062521	0.034645	0.060901	0.18206	0.17159	0.11628	0.099275
Meth__cg07014174__KRTAP11-1	0.80108	0.066227	0.61858	0.40092	0.083158	0.59849	0.86289	0.075982	0.69621	0.56912	0.16808	0.42553	0.2621	0.16827	0.086181	0.047993	0.10855	0.4179	0.79426	0.17119	0.092457	0.25505	0.065658	0.41576	0.066228	0.094361	0.11243	0.06405	0.26889	0.3176
Meth__cg20324165__KRT8	0.052009	0.078052	0.064954	0.058629	0.72407	0.060394	0.045852	0.069492	0.05195	0.09432	0.095683	0.075521	0.52148	0.11467	0.70307	0.066078	0.06201	0.27729	0.042997	0.33612	0.049232	0.13349	0.80571	0.066133	0.12206	0.14932	0.051965	0.066881	0.061191	0.063274
Meth__cg02764897__KRTAP13-1	0.77202	0.099792	0.73457	0.37666	0.069961	0.628	0.87395	0.12011	0.56667	0.44359	0.23984	0.50193	0.061673	0.19529	0.1469	0.07763	0.14631	0.099328	0.15364	0.099395	0.17239	0.15216	0.059292	0.28005	0.093163	0.13952	0.18671	0.087845	0.20924	0.27829
Meth__cg01438829__TMEM97	0.04727	0.052098	0.039409	0.032446	0.04136	0.049993	0.025034	0.05343	0.040757	0.031876	0.063936	0.046412	0.038441	0.067579	0.03929	0.041543	0.040099	0.047138	0.041876	0.06512	0.35487	0.11708	0.079501	0.043068	0.047833	0.034686	0.036808	0.047175	0.045212	0.044973
Meth__cg18236079__HS3ST3A1	0.94843	0.073629	0.90971	0.82601	0.84876	0.19731	0.96818	0.08753	0.95732	0.4757	0.84987	0.61015	0.059594	0.073691	0.031005	0.054587	0.37981	0.16461	0.91083	0.74306	0.061645	0.52272	0.61643	0.055402	0.065678	0.30225	0.6918	0.070319	0.68931	0.93073
Meth__cg08700651__IL28RA	0.14158	0.85916	0.41057	0.080806	0.87757	0.65784	0.14156	0.095179	0.073829	0.28835	0.86666	0.086583	0.49599	0.37763	0.40924	0.63533	0.59873	0.48586	0.43427	0.55716	0.27176	0.18042	0.62852	0.37593	0.16577	0.92037	0.06393	0.14553	0.13935	0.19756
Meth__cg24006361__EPN3	0.024376	0.03443	0.019226	0.025888	0.25121	0.051429	0.025289	0.025812	0.027719	0.04486	0.058472	0.029285	0.19383	0.082523	0.028608	0.035349	0.029326	0.035904	0.026316	0.10564	0.027013	0.042565	0.048005	0.026226	0.026975	0.023396	0.030478	0.035104	0.031071	0.028844
Meth__cg11245384__PDYN	0.86312	0.066053	0.89532	0.88465	0.094195	0.26345	0.76342	0.066185	0.77291	0.90333	0.85056	0.46021	0.80444	0.054863	0.030367	0.63045	0.72225	0.7801	0.90877	0.062818	0.65494	0.65352	0.49019	0.052625	0.15212	0.4575	0.11088	0.77727	0.40554	0.67478
Meth__cg22136753__CSRP2BP	0.064948	0.16367	0.065169	0.05074	0.85064	0.057402	0.13655	0.063526	0.054964	0.073171	0.48746	0.2502	0.23228	0.11372	0.0396	0.059929	0.061021	0.52522	0.043016	0.78357	0.10287	0.083261	0.052823	0.46246	0.044148	0.13478	0.032714	0.065922	0.08038	0.3179
Meth__cg10708793__LGP2	0.042488	0.36863	0.04641	0.036354	0.50574	0.031193	0.066507	0.37997	0.38723	0.030818	0.43719	0.87251	0.038136	0.2201	0.04127	0.87859	0.87556	0.044707	0.039625	0.35133	0.35544	0.28787	0.034011	0.037654	0.024352	0.54054	0.032598	0.06946	0.43211	0.86165
Meth__cg01806808__PTK2	0.025869	0.027772	0.024423	0.022732	0.025009	0.027848	0.01834	0.027575	0.024411	0.010935	0.088707	0.027586	0.03321	0.18296	0.019497	0.021524	0.028069	0.027686	0.021828	0.056161	0.024905	0.065576	0.028937	0.031671	0.027576	0.026929	0.069284	0.029535	0.028943	0.033506
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	0.81283	3.6725	4.5519	8.239	3.5171	1.8164	8.8117	1.1612	0.30805	0	2.0891	3.6262	1.098	1.1014	0	0.74292	5.2937	7.885	2.1547	2.1856	2.0067	1.8861	0.97357
Meth__cg11435943__SERPINB12	0.77236	0.24573	0.78713	0.23176	0.16466	0.38161	0.90562	0.069951	0.71287	0.59789	0.80716	0.79753	0.56648	0.78634	0.061008	0.064836	0.0921	0.077073	0.89067	0.089528	0.13956	0.085134	0.064237	0.85702	0.53471	0.059529	0.1136	0.062909	0.36422	0.21775
Meth__cg07109287__LHX2	0.021445	0.022548	0.026067	0.032725	0.021371	0.025305	0.020163	0.030027	0.036565	0.020039	0.055599	0.04196	0.023459	0.058578	0.55353	0.022621	0.03061	0.70081	0.019775	0.95109	0.6901	0.079351	0.031559	0.04651	0.021529	0.03067	0.06077	0.65842	0.15704	0.28818
Meth__cg24012925__SRXN1	0.050023	0.0451	0.17578	0.052594	0.052255	0.07719	0.13862	0.063853	0.055148	0.092252	0.057688	0.038842	0.050779	0.074825	0.038497	0.032214	0.054045	0.045237	0.052727	0.068253	0.050267	0.062277	0.05543	0.045392	0.078629	0.030097	0.076538	0.04704	0.041267	0.044257
Meth__cg17877656__PCGF6	0.02639	0.02221	0.023597	0.025627	0.02221	0.028707	0.34069	0.0216	0.036064	0.048577	0.04997	0.018749	0.014617	0.097586	0.016677	0.016209	0.019904	0.028363	0.03741	0.022856	0.022075	0.03757	0.019656	0.017181	0.02226	0.011443	0.043332	0.026119	0.025361	0.025321
Meth__cg19841506__ZMYND15	0.035162	0.83335	0.858	0.11714	0.98488	0.20926	0.034124	0.090386	0.034916	0.040243	0.20213	0.9533	0.098532	0.081003	0.20772	0.97517	0.44933	0.5414	0.17631	0.95448	0.39702	0.070012	0.47775	0.026658	0.033598	0.93533	0.075872	0.23403	0.052951	0.53049
Meth__cg06518779__KDELC1	0.021109	0.025181	0.029996	0.030772	0.030631	0.038538	0.023591	0.063349	0.050777	0.020943	0.05619	0.034704	0.025434	0.054013	0.037327	0.029609	0.044635	0.059367	0.020107	0.052128	0.037447	0.098837	0.031818	0.021564	0.019208	0.95778	0.05227	0.070605	0.043806	0.039493
Meth__cg14450605__NCOA4	0.088623	0.080627	0.070506	0.051857	0.05133	0.096679	0.031966	0.071217	0.060436	0.032932	0.16815	0.052843	0.057856	0.20699	0.081241	0.064277	0.068956	0.058281	0.047185	0.10696	0.068262	0.084721	0.079543	0.062723	0.055462	0.075565	0.076487	0.74135	0.20595	0.10821
Meth__cg14121103__ABHD5	0.034707	0.034528	0.034476	0.026123	0.39797	0.042893	0.024902	0.035998	0.037645	0.035703	0.10238	0.033978	0.029695	0.088493	0.34699	0.038793	0.037005	0.036085	0.031714	0.089527	0.037904	0.064463	0.052827	0.032538	0.034565	0.043043	0.047186	0.041141	0.035261	0.035456
RS_G7943__ERP27__ERP27	7.6388	1.2801	6.1285	5.5273	0	3.4983	3.2757	0.7548	4.0817	3.8164	4.7452	7.2268	0	8.7732	0	0.79097	2.1126	2.4821	5.1998	2.4509	5.4332	2.3241	0	5.1827	4.9496	1.2358	3.9084	3.4227	6.7415	1.574
Meth__cg13757640__ARHGAP8	0.019627	0.018656	0.019309	0.028167	0.95373	0.022511	0.011898	0.022705	0.017072	0.0177	0.049273	0.01995	0.085307	0.034516	0.34852	0.022994	0.029716	0.021817	0.02389	0.76033	0.04247	0.038812	0.30019	0.021524	0.016915	0.019506	0.047453	0.021278	0.028678	0.027353
Meth__cg18241160__CDC2L2	0.051236	0.028507	0.049259	0.046995	0.017644	0.11881	0.27936	0.029282	0.051181	0.13383	0.091107	0.031114	0.070343	0.057386	0.036971	0.042847	0.046387	0.05457	0.056546	0.76748	0.032341	0.056392	0.045054	0.031048	0.2295	0.025651	0.070074	0.031464	0.043225	0.04156
Meth__cg07525077__RNASE3	0.25831	0.071873	0.82477	0.49857	0.12416	0.19661	0.82432	0.23729	0.53235	0.34012	0.27284	0.17081	0.14559	0.13533	0.14781	0.37266	0.1418	0.54208	0.7838	0.11444	0.29505	0.26944	0.1002	0.10842	0.075937	0.07377	0.20824	0.09771	0.37215	0.1718
Meth__cg15315630__ZMYM6	0.028525	0.02953	0.02518	0.022083	0.025166	0.028205	0.018513	0.030227	0.026817	0.014765	0.050468	0.018488	0.027732	0.07032	0.029632	0.03182	0.028405	0.031043	0.023978	0.072721	0.028186	0.19473	0.028002	0.027025	0.025124	0.022531	0.044509	0.028114	0.0317	0.026894
Meth__cg11015241__ATP10A	0.8912	0.094203	0.50186	0.88716	0.25921	0.68524	0.9275	0.077586	0.84655	0.93807	0.17355	0.88458	0.89032	0.19666	0.26751	0.65833	0.52665	0.78165	0.93221	0.8623	0.33277	0.22716	0.93265	0.038654	0.83696	0.94716	0.67263	0.87414	0.21598	0.31637
RS_G12785__SLC16A4__SLC16A4	3.8688	2.8627	1.8764	3.793	1.5098	3.7081	2.5332	2.9457	7.7481	2.8096	1.1751	4.7571	3.7372	3.9577	2.4846	2.1431	1.9558	3.4505	2.5055	1.342	2.4408	1.6133	0.97355	2.3942	3.3716	1.7544	3.9175	0.53288	1.1295	1.52
Meth__cg04959837__PLSCR4	0.053988	0.10105	0.043754	0.034595	0.042965	0.0701	0.022672	0.072838	0.038181	0.036874	0.10551	0.031963	0.031686	0.061508	0.048516	0.061609	0.054616	0.17665	0.034715	0.17037	0.066302	0.12703	0.040168	0.030482	0.034769	0.35348	0.091049	0.05383	0.060155	0.056641
RS_G10006__UCHL1__UCHL1	4.6916	3.5306	3.1025	4.9635	9.437	0.31416	6.613	1.423	10.1083	7.0574	1.8004	0	10.0435	7.4474	0.34712	4.7028	1.6596	3.1489	1.9776	0	5.6516	3.5837	2.1949	3.649	7.993	0	5.6993	4.2934	4.5807	0.41637
Meth__cg09522147__KRT7	0.071048	0.069625	0.062644	0.048602	0.94306	0.17369	0.055719	0.93289	0.22515	0.042965	0.099001	0.055828	0.22209	0.12625	0.9048	0.93719	0.94583	0.70398	0.057251	0.098049	0.072433	0.10569	0.60017	0.050924	0.054514	0.047205	0.68789	0.064975	0.928	0.91954
Meth__cg06776256__GPRC5A	0.06568	0.074574	0.063896	0.062626	0.29139	0.075699	0.050217	0.086817	0.085077	0.089929	0.10942	0.43728	0.060285	0.12743	0.20024	0.099037	0.076254	0.10767	0.071626	0.08313	0.072625	0.10875	0.14364	0.069428	0.075381	0.066563	0.068457	0.085082	0.063787	0.078433
Meth__cg03473294__TASP1	0.029399	0.027847	0.029496	0.026338	0.029936	0.040013	0.022289	0.03798	0.036389	0.024867	0.078889	0.032513	0.029901	0.078256	0.039292	0.032476	0.033551	0.032673	0.02873	0.081692	0.03686	0.05626	0.032777	0.025064	0.030519	0.031132	0.071466	0.041849	0.033843	0.039254
Meth__cg03942436__ZNF688	0.02953	0.023844	0.03394	0.025114	0.029546	0.039971	0.026018	0.036925	0.024666	0.035872	0.07485	0.026731	0.041655	0.036301	0.025555	0.025764	0.027739	0.025617	0.02675	0.044155	0.029837	0.058107	0.030121	0.042781	0.020252	0.03582	0.026418	0.040632	0.031821	0.037807
Meth__cg09413557__S100A6	0.030585	0.53436	0.033124	0.14395	0.59541	0.039195	0.034683	0.57648	0.16096	0.017639	0.63744	0.10997	0.026498	0.058238	0.034959	0.66241	0.52445	0.22084	0.023695	0.053248	0.033652	0.47544	0.029632	0.026279	0.02607	0.028008	0.031213	0.1551	0.27423	0.15056
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.17621	0.40256	0.073638	0.094149	0.1289	0.19328	0.08907	0.36464	0.063223	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.44547	0.08313	0.12266	0.10698	0.081333	0.081179	0.079984	0.17023	0.050818	0.28035	0.52473	0.074087	0.061239
Meth__cg04515986__FTHL17	0.22471	0.074083	0.7539	0.29543	0.12107	0.476	0.66732	0.070288	0.46355	0.33985	0.34989	0.58162	0.21457	0.12565	0.076205	0.078639	0.27108	0.11253	0.30842	0.13478	0.10375	0.21778	0.071716	0.73861	0.14371	0.21998	0.14742	0.0627	0.24675	0.22589
Meth__cg11594415__BAT2D1	0.030023	0.028097	0.029226	0.023819	0.032363	0.036016	0.020256	0.037479	0.029121	0.014671	0.067555	0.032986	0.024482	0.13	0.02915	0.024064	0.033062	0.026646	0.023144	0.055446	0.043531	0.064133	0.030948	0.033442	0.022668	0.023215	0.19023	0.040433	0.032972	0.030221
Meth__cg08319991__UCHL1	0.18203	0.18583	0.32746	0.25947	0.40383	0.9099	0.13856	0.90655	0.4593	0.067999	0.87175	0.9119	0.044034	0.10094	0.073253	0.88841	0.88925	0.55358	0.43194	0.79509	0.85093	0.62477	0.077381	0.25693	0.036574	0.89806	0.1066	0.43867	0.45635	0.79802
RS_G10592__HOXB13__HOXB13	0.13852	0.41729	7.3933	4.8456	3.0727	0.090791	3.2697	0	4.5096	3.6472	0	0.82986	4.5798	0	2.4854	0.90775	0.86504	0	4.3853	0	1.7184	0	2.9856	0	5.5425	5.4196	0	6.077	0	0
Meth__cg22130834__TTC22	0.078146	0.1155	0.834	0.6642	0.73052	0.7379	0.028127	0.81486	0.031796	0.029854	0.7401	0.7826	0.032337	0.050958	0.25154	0.89352	0.84627	0.68984	0.024977	0.84952	0.52678	0.87539	0.076664	0.026437	0.024707	0.51795	0.071643	0.035208	0.08483	0.84881
Meth__cg18056600__ZMYND15	0.034968	0.78702	0.8171	0.13152	0.97023	0.26807	0.044132	0.10166	0.074294	0.054043	0.23717	0.90923	0.16912	0.060016	0.1937	0.9427	0.4272	0.49966	0.26714	0.93798	0.44228	0.098863	0.4894	0.026201	0.035599	0.8874	0.078109	0.18742	0.075264	0.49803
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.77302	0.85591	0.057775	0.71062	0.83098	0.37563	0.78852	0.35561	0.53666	0.62875	0.07173	0.54714	0.039449	0.75058	0.68991	0.13063	0.84019	0.15672	0.27013	0.5683	0.05162	0.062952	0.18302	0.76068	0.11388	0.59709	0.42627	0.45067
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	1.4693	6.9239	12.4501	7.6521	9.9669	2.3008	10.6566	3.9295	6.0096	1.6805	3.2104	10.8382	0.72684	3.0384	2.1965	1.8388	11.3122	12.7978	12.3241	3.8277	0.69855	3.2686	3.0416
Meth__cg14135551__DAAM2	0.052536	0.039751	0.082405	0.049354	0.49706	0.45053	0.076489	0.070137	0.043104	0.035065	0.73193	0.047531	0.051099	0.17561	0.038733	0.076628	0.077343	0.43051	0.049732	0.19501	0.090958	0.11807	0.057974	0.043204	0.036166	0.459	0.054771	0.067023	0.075515	0.26118
Meth__cg23179168__FAM84B	0.045961	0.04251	0.044558	0.034309	0.3948	0.056449	0.044218	0.046786	0.041767	0.034587	0.11587	0.040546	0.086241	0.096045	0.5008	0.041813	0.045894	0.047791	0.036965	0.11135	0.047187	0.063822	0.052871	0.036899	0.033691	0.036983	0.074685	0.041521	0.044617	0.045206
Meth__cg09954385__ARHGAP8	0.03109	0.039965	0.051209	0.043854	0.9561	0.038548	0.023385	0.054908	0.035858	0.02178	0.11495	0.03697	0.085249	0.052367	0.36927	0.045303	0.065968	0.034366	0.036857	0.85666	0.049664	0.097719	0.34896	0.035681	0.025487	0.032121	0.18021	0.03763	0.051959	0.041044
Meth__cg26036443__EHD2	0.056504	0.04708	0.90683	0.82286	0.045626	0.052403	0.1139	0.18485	0.90394	0.30208	0.10675	0.068838	0.048639	0.28776	0.046894	0.045916	0.14278	0.17826	0.48062	0.14294	0.69298	0.087145	0.051464	0.036489	0.094591	0.17823	0.11551	0.11252	0.060969	0.071972
Meth__cg20244073__MID1	0.048176	0.036857	0.039321	0.040884	0.87075	0.066826	0.11397	0.068375	0.15293	0.023893	0.61336	0.041457	0.04714	0.11693	0.47342	0.072487	0.080313	0.61396	0.033963	0.68402	0.080978	0.42207	0.54725	0.069043	0.043231	0.50482	0.056861	0.040923	0.045118	0.15208
RS_G3462__DDX58__DDX58	4.6464	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	3.8092	9.1085	6.7743	4.4267	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.2057	2.4644	5.7884	3.5604	3.4966	1.8856	4.3942	5.3403	2.8206	4.5015	1.9092	3.7722	3.2852
