Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__IGL@	-1.694	-1.159	-3.74	0.248	-2.86	-0.961	-3.126	0.818	-0.216	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-3.047	-0.047	0.611	0.439	0.55	0.535	-0.404	-0.171	0.179	-0.122	0.659	0.396	0.716	-1.059	0.226	-0.148	0.565	0.383	-0.163	-3.338	-3.43	0.69	0.757	0.514
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__WNK1	0.026	0.099	0.18	0.122	0.305	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	-3.139	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__KLRC2	0.038	-4.945	0.128	0.073	0.172	-0.258	-0.537	-0.087	0.204	-1.394	0.077	-0.416	0.21	0.23	0.269	-0.566	-0.339	0.364	0.146	-0.033	0.007	-0.092	-0.409	-0.216	-0.322	0.115	0.239	0.193	-0.051	-1.749	-0.206	0.108	0.002	0.016	-0.249	0.216	-0.858	-0.32	0.568	0.28
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.184	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	-1.752	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.084	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	-2.667	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__UGT2B28	-2.183	-0.141	-0.225	-0.182	-0.133	-0.446	0.075	-0.317	-0.225	-0.258	-0.358	-2.842	-0.056	-2.173	-1.756	-0.167	-0.772	-0.088	-0.067	-0.127	-0.254	-0.291	-0.072	-0.197	-0.166	-0.071	-0.759	-0.057	-0.051	-0.232	0.456	0.232	-0.171	-0.063	-0.859	-0.19	-0.316	-0.326	-0.039	0.036
SNP__CES4	-0.627	-2.149	0.18	-0.004	0.161	0.179	0.089	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.316	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	0.158	-1.816	1.372	1.53	0.026	0.86	0.185	-0.145	-2.051	2.179	2.961	1.452
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__CDKN2B	-0.648	-0.203	-2.827	-1.03	-0.275	0.166	0.044	-0.451	0.136	-2.558	-0.475	-0.048	-0.052	-2.429	-0.129	-0.221	0.296	-1.152	0.285	-2.607	0.797	-0.081	-1.014	-1.026	0.031	-2.711	-0.845	-0.064	-0.627	-0.228	-2.484	-2.568	-0.75	-0.376	-1.991	-0.181	-0.306	-0.296	-0.088	0.022
