Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg17780098__CSRP1	0.030913	0.61467	0.026631	0.030886	0.091356	0.65745	0.03773	0.046126	0.64129	0.035282	0.44193	0.029611	0.053044	0.56237	0.033592	0.025045	0.046805	0.017829	0.70401	0.56113	0.020501	0.5	0.024089	0.091326	0.030595	0.026842	0.037348	0.043122	0.02325	0.022018	0.025159	0.83018	0.020745	0.030707	0.045115	0.027504	0.033077	0.15075
Meth__cg00311768__TSTA3	0.086867	0.19853	0.6503	0.70767	0.3596	0.66789	0.3497	0.67668	0.21182	0.77743	0.071736	0.86943	0.36088	0.24303	0.3347	0.5905	0.13027	0.081038	0.42845	0.43043	0.18172	0.8973	0.7883	0.78983	0.74237	0.16358	0.14426	0.51164	0.081686	0.092009	0.11472	0.36966	0.4348	0.11911	0.13438	0.85424	0.074186	0.074599
Meth__cg21516384__KIAA1618	0.064106	0.42404	0.76813	0.74213	0.599	0.54262	0.36881	0.54195	0.45276	0.66554	0.045053	0.88664	0.48051	0.48617	0.1269	0.18468	0.054778	0.023537	0.64074	0.44086	0.5045	0.098691	0.11435	0.090634	0.69195	0.12526	0.40781	0.44503	0.02366	0.036718	0.17882	0.42164	0.5084	0.18131	0.25147	0.067899	0.28266	0.32786
Meth__cg16357381__COL7A1	0.055336	0.072186	0.10591	0.82702	0.38924	0.56079	0.33844	0.79113	0.078035	0.26375	0.74267	0.11719	0.30363	0.08635	0.24928	0.35576	0.11017	0.041544	0.44401	0.15314	0.096012	0.11633	0.064748	0.078811	0.4156	0.14293	0.694	0.11153	0.06454	0.069384	0.060141	0.39352	0.10933	0.21784	0.66423	0.071543	0.18765	0.42332
Meth__cg09009259__MUM1	0.089656	0.088579	0.11034	0.54768	0.37528	0.59899	0.14257	0.07755	0.15366	0.73657	0.07571	0.10279	0.12334	0.41525	0.068684	0.57399	0.10777	0.045745	0.11536	0.11592	0.23542	0.11915	0.11119	0.32938	0.76844	0.13589	0.1767	0.67437	0.04148	0.052551	0.069639	0.12837	0.054752	0.046298	0.12687	0.14907	0.063381	0.22123
Meth__cg26160573__PTPN18	0.048987	0.13444	0.27821	0.70019	0.10144	0.41431	0.51706	0.44291	0.79299	0.8225	0.73764	0.90566	0.30675	0.73488	0.39622	0.3947	0.30093	0.033109	0.24706	0.24844	0.046417	0.26762	0.18271	0.11872	0.75683	0.17402	0.81067	0.13625	0.036307	0.03507	0.035454	0.53084	0.4171	0.26771	0.27846	0.044505	0.38158	0.14283
Meth__cg03679734__CKMT1B	0.12372	0.042737	0.17435	0.84522	0.077657	0.57647	0.49875	0.36364	0.26924	0.37833	0.42739	0.087421	0.34659	0.23081	0.6795	0.053665	0.057525	0.039051	0.60022	0.67905	0.14789	0.48092	0.054969	0.14196	0.73097	0.056793	0.87784	0.19427	0.052467	0.24559	0.052117	0.63033	0.054976	0.036947	0.049153	0.073032	0.063778	0.059853
Meth__cg04676561__HIST1H1B	0.035154	0.027563	0.034891	0.025208	0.021397	0.58376	0.028695	0.067159	0.025102	0.029739	0.057326	0.025297	0.20094	0.0223	0.025122	0.027626	0.046262	0.6868	0.031796	0.027831	0.37945	0.03775	0.93032	0.67203	0.02995	0.068061	0.046363	0.060666	0.73727	0.023444	0.93407	0.020448	0.024812	0.26243	0.029156	0.034807	0.032583	0.04034
Meth__cg18330611__NPPC	0.04354	0.078879	0.080527	0.055465	0.025689	0.037446	0.041442	0.052814	0.033434	0.032106	0.14564	0.024984	0.033136	0.031465	0.024746	0.035029	0.054015	0.015642	0.048858	0.075024	0.029092	0.065016	0.025073	0.10144	0.035209	0.034045	0.41098	0.052873	0.022086	0.021892	0.018757	0.021908	0.020525	0.020524	0.054906	0.022713	0.022764	0.051313
Meth__cg04907664__EFNB1	0.63907	0.058216	0.1134	0.0849	0.10734	0.079575	0.086454	0.14717	0.12896	0.078851	0.082574	0.082721	0.20193	0.21266	0.087755	0.26562	0.38383	0.094908	0.077857	0.080553	0.53451	0.39725	0.59758	0.20652	0.091478	0.42187	0.56368	0.39671	0.56413	0.080024	0.59983	0.11967	0.054894	0.394	0.12702	0.51091	0.16534	0.075655
Meth__cg09950034__BIRC4	0.45768	0.035608	0.082277	0.091891	0.36208	0.060091	0.086676	0.2485	0.087219	0.089569	0.090909	0.080301	0.14248	0.086819	0.20779	0.48122	0.11603	0.094726	0.065637	0.060105	0.31206	0.071344	0.42433	0.12033	0.10017	0.30361	0.36224	0.17839	0.49174	0.0915	0.49552	0.094547	0.036795	0.17446	0.12789	0.53643	0.41205	0.10109
Meth__cg02989940__ERAF	0.36991	0.033652	0.76282	0.59051	0.30758	0.45635	0.79674	0.69228	0.54888	0.56334	0.70852	0.73667	0.05742	0.29514	0.86209	0.84547	0.048571	0.028234	0.80173	0.65135	0.063035	0.91131	0.4008	0.077367	0.37622	0.043314	0.058593	0.050573	0.60621	0.037256	0.043061	0.045977	0.1683	0.37178	0.28499	0.82142	0.3217	0.59799
Meth__cg14795305__SMARCD3	0.08119	0.15706	0.72663	0.87412	0.034363	0.5663	0.68426	0.81642	0.062984	0.068247	0.41143	0.58568	0.40233	0.054725	0.19293	0.1814	0.054374	0.052589	0.78699	0.29981	0.055284	0.16619	0.061283	0.41845	0.4801	0.081142	0.13013	0.077265	0.056176	0.043293	0.073262	0.2699	0.065708	0.26432	0.15913	0.076974	0.085488	0.16132
Meth__cg01820777__MICAL-L2	0.087906	0.34688	0.92573	0.87754	0.79101	0.78165	0.8951	0.85084	0.029167	0.6029	0.041824	0.48645	0.60552	0.020671	0.72044	0.3692	0.13794	0.031703	0.835	0.86193	0.44104	0.1107	0.09836	0.46058	0.82046	0.060105	0.75473	0.26345	0.034696	0.026068	0.029409	0.091726	0.56129	0.33407	0.047851	0.34059	0.47	0.49594
Meth__cg14435807__LOXL1	0.030801	0.85246	0.63892	0.93407	0.64297	0.24917	0.88928	0.219	0.030049	0.90889	0.91204	0.91547	0.8452	0.34922	0.72505	0.038109	0.64992	0.02846	0.93006	0.94246	0.45617	0.37871	0.73627	0.056875	0.78478	0.070989	0.85047	0.54124	0.32349	0.022516	0.026253	0.042714	0.56618	0.027714	0.86759	0.92101	0.41974	0.91108
Meth__cg11396509__SIRT2	0.041777	0.056726	0.080387	0.15136	0.12098	0.036582	0.11098	0.040041	0.067348	0.093593	0.031864	0.11501	0.079221	0.062572	0.059555	0.033894	0.045137	0.030471	0.54256	0.090909	0.091259	0.077541	0.046762	0.18993	0.40293	0.053063	0.10466	0.15382	0.045555	0.037706	0.036378	0.079293	0.039352	0.047095	0.11509	0.051929	0.046262	0.06477
Meth__cg06196379__TREM1	0.14161	0.26734	0.8738	0.79891	0.67663	0.040308	0.41866	0.66359	0.68628	0.69373	0.44526	0.75107	0.51084	0.72525	0.40988	0.74308	0.11004	0.021995	0.49712	0.43676	0.83426	0.097922	0.28294	0.0866	0.55806	0.050501	0.52635	0.27158	0.028516	0.043436	0.037478	0.58869	0.12573	0.29627	0.22799	0.34693	0.22286	0.42307
Meth__cg13079099__LENG9	0.06386	0.063436	0.067901	0.55981	0.067534	0.039791	0.087789	0.13031	0.038198	0.090822	0.051568	0.066179	0.10136	0.045064	0.25189	0.47491	0.064798	0.033387	0.076653	0.11074	0.065334	0.36591	0.036515	0.083508	0.13122	0.069746	0.074596	0.10832	0.087696	0.036214	0.040015	0.50637	0.036086	0.029008	0.11455	0.072104	0.042091	0.07312
Meth__cg07294734__ATP5D	0.11495	0.062744	0.73667	0.65452	0.33985	0.47602	0.35203	0.52306	0.24894	0.4823	0.053881	0.92611	0.37613	0.27352	0.38461	0.39457	0.19442	0.10782	0.25399	0.1248	0.33472	0.72687	0.48042	0.62498	0.86034	0.088337	0.13993	0.21108	0.052287	0.086282	0.045154	0.16081	0.39449	0.071283	0.5759	0.1175	0.22131	0.072789
Meth__cg26759551__FBP1	0.037542	0.96929	0.96367	0.026255	0.032015	0.96607	0.67537	0.98908	0.28755	0.019055	0.97314	0.0682	0.94933	0.44114	0.98024	0.70311	0.19441	0.058393	0.026246	0.027501	0.019998	0.97171	0.021489	0.93345	0.037327	0.051897	0.43419	0.66861	0.024259	0.021974	0.02459	0.047393	0.027083	0.023664	0.05178	0.042132	0.022171	0.47083
Meth__cg13225039__TACC3	0.044458	0.26874	0.10288	0.063045	0.17087	0.080743	0.059268	0.10476	0.11466	0.11216	0.057918	0.024958	0.13566	0.11221	0.064682	0.092442	0.049441	0.053457	0.067888	0.095711	0.063049	0.60296	0.058722	0.11839	0.050987	0.04181	0.054214	0.36103	0.046387	0.045211	0.037292	0.046696	0.044935	0.029188	0.07397	0.038819	0.0309	0.037491
Meth__cg04060163__SEC14L1	0.047581	0.17394	0.09075	0.28387	0.14778	0.12816	0.36279	0.070222	0.26263	0.19141	0.11039	0.41977	0.24943	0.23736	0.099826	0.035363	0.14928	0.038247	0.41963	0.10703	0.069989	0.13529	0.045293	0.079804	0.13291	0.070425	0.078478	0.12693	0.026061	0.033186	0.034917	0.087294	0.064744	0.14454	0.080383	0.13755	0.076853	0.093258
Meth__cg06236061__GLTP	0.072829	0.053782	0.36881	0.51156	0.56435	0.84435	0.35925	0.13677	0.74699	0.46808	0.11862	0.61456	0.23582	0.46848	0.14765	0.10132	0.090062	0.087073	0.099642	0.18658	0.23255	0.83714	0.13855	0.40536	0.37453	0.098222	0.15419	0.10261	0.06977	0.087757	0.18835	0.75305	0.055371	0.056747	0.044061	0.35124	0.099652	0.18952
Meth__cg25821963__ABLIM3	0.055046	0.050564	0.068483	0.59465	0.038757	0.11299	0.050718	0.051055	0.041443	0.05107	0.3917	0.054463	0.14542	0.55205	0.03488	0.048703	0.067758	0.034378	0.57611	0.6031	0.040477	0.15643	0.0305	0.57302	0.060176	0.078042	0.079336	0.053149	0.036691	0.037346	0.031434	0.41814	0.054434	0.034885	0.078797	0.052517	0.035038	0.052829
Meth__cg27465531__MBTPS2	0.62338	0.037569	0.10602	0.072932	0.348	0.069083	0.091827	0.099821	0.11937	0.063885	0.073781	0.2059	0.34877	0.12326	0.065227	0.11665	0.16203	0.52272	0.075313	0.094012	0.48568	0.051665	0.57696	0.14359	0.48656	0.21943	0.5113	0.36673	0.61528	0.10551	0.55434	0.10129	0.045782	0.028971	0.16814	0.51016	0.28131	0.074199
Meth__cg20687462__MGC10992	0.04341	0.43271	0.44285	0.38962	0.26924	0.044443	0.60754	0.11165	0.13342	0.12126	0.045978	0.081111	0.24402	0.11977	0.052105	0.094618	0.090676	0.042912	0.15926	0.14505	0.086617	0.045117	0.04446	0.17909	0.10649	0.06484	0.1298	0.34711	0.037402	0.034253	0.16211	0.23952	0.10287	0.054853	0.050926	0.16206	0.049506	0.082395
Meth__cg18256128__PDK3	0.60709	0.043927	0.13358	0.079897	0.30482	0.06698	0.093765	0.10431	0.16461	0.086097	0.099672	0.55031	0.50636	0.11455	0.093685	0.12557	0.28801	0.1932	0.051958	0.086332	0.61662	0.056215	0.51558	0.1427	0.54072	0.47426	0.45991	0.4891	0.6251	0.11103	0.62807	0.19504	0.056768	0.045082	0.10992	0.53789	0.416	0.090218
Meth__cg06349174__STIM1	0.019734	0.37041	0.029421	0.69131	0.31359	0.030983	0.19821	0.02791	0.35734	0.13535	0.021781	0.037322	0.04645	0.33389	0.022376	0.015461	0.049315	0.021909	0.72641	0.56527	0.043015	0.090729	0.1374	0.38558	0.049154	0.030979	0.050583	0.15333	0.020163	0.017402	0.021068	0.038658	0.01922	0.015442	0.043257	0.066351	0.055365	0.070419
Meth__cg26619317__CNN3	0.061306	0.17624	0.19398	0.12404	0.070568	0.034924	0.085185	0.11251	0.061759	0.070503	0.086756	0.094087	0.10238	0.052703	0.03844	0.05748	0.12682	0.033487	0.95627	0.55772	0.034251	0.087287	0.037382	0.10797	0.086033	0.063366	0.2751	0.13681	0.031426	0.036168	0.041144	0.034627	0.041854	0.030139	0.12826	0.051106	0.10226	0.76444
Meth__cg13391638__FLJ13576	0.073346	0.12327	0.14633	0.80202	0.10281	0.91887	0.16029	0.11803	0.92761	0.10315	0.095943	0.80007	0.37664	0.78569	0.23904	0.070866	0.50349	0.080724	0.24408	0.10533	0.16717	0.18814	0.12211	0.83675	0.29583	0.10933	0.17035	0.17312	0.059313	0.05526	0.072471	0.40864	0.1933	0.077792	0.13894	0.11922	0.10626	0.48697
Meth__cg10862587__GLB1L	0.040301	0.088115	0.18751	0.15247	0.10285	0.092762	0.087569	0.12885	0.25399	0.32505	0.054423	0.13327	0.078189	0.24034	0.051404	0.047523	0.2085	0.037822	0.17082	0.24253	0.14453	0.15348	0.10068	0.21618	0.10205	0.094827	0.068574	0.13215	0.0409	0.052752	0.042248	0.059414	0.20884	0.045718	0.32567	0.070811	0.081358	0.067359
Meth__cg11527279__TTLL11	0.60589	0.39373	0.9193	0.88603	0.60158	0.1396	0.35073	0.50903	0.79589	0.75274	0.067986	0.92988	0.32002	0.65749	0.11881	0.041094	0.53723	0.066648	0.62725	0.82351	0.11083	0.19044	0.24769	0.64167	0.80894	0.14068	0.83384	0.12257	0.039739	0.22721	0.066839	0.3443	0.83724	0.096254	0.094692	0.52582	0.20752	0.15472
Meth__cg04837071__NOXA1	0.046036	0.20056	0.22871	0.58455	0.28129	0.94862	0.24647	0.18685	0.29297	0.90211	0.92767	0.69084	0.44603	0.26891	0.19248	0.65752	0.090034	0.64623	0.29341	0.088078	0.06823	0.38322	0.17123	0.1742	0.46871	0.074038	0.30609	0.43802	0.14681	0.059974	0.21634	0.11687	0.4535	0.14813	0.096501	0.18317	0.044165	0.032325
Meth__cg16179125__CTSZ	0.088408	0.38556	0.064825	0.07574	0.76102	0.69383	0.085011	0.4435	0.89425	0.64166	0.78092	0.10136	0.079157	0.77959	0.68864	0.061284	0.10178	0.043965	0.97301	0.79747	0.545	0.6763	0.077117	0.095799	0.17713	0.20483	0.50673	0.079854	0.048286	0.052284	0.063772	0.68428	0.058009	0.03759	0.13884	0.058932	0.53497	0.20778
Meth__cg08468689__LGP1	0.046664	0.02516	0.11796	0.47266	0.30712	0.044455	0.1155	0.072401	0.050106	0.050386	0.049651	0.042903	0.29178	0.043523	0.039359	0.75136	0.10511	0.038222	0.47973	0.32564	0.043592	0.34525	0.035788	0.10794	0.049768	0.065214	0.088361	0.047712	0.040015	0.039083	0.030825	0.18668	0.035262	0.03941	0.097677	0.056471	0.041472	0.20704
Meth__cg17607973__BCDIN3	0.16513	0.18494	0.22251	0.19357	0.053508	0.049663	0.14163	0.092995	0.13533	0.031266	0.19563	0.1155	0.075786	0.088577	0.10007	0.11483	0.15033	0.016101	0.071058	0.16793	0.054655	0.1582	0.034042	0.10032	0.12857	0.027942	0.12606	0.11277	0.018607	0.027848	0.030523	0.044108	0.019433	0.032634	0.069407	0.028506	0.045619	0.066344
Meth__cg19326876__ATP10A	0.075105	0.39586	0.93174	0.92511	0.6768	0.64617	0.92422	0.531	0.10144	0.15412	0.42273	0.050346	0.24828	0.10292	0.56987	0.15598	0.16521	0.041021	0.92499	0.92184	0.13557	0.56219	0.25276	0.44042	0.87584	0.081671	0.87249	0.15692	0.038537	0.36495	0.2327	0.030015	0.032174	0.032235	0.077351	0.65121	0.15746	0.48111
Meth__cg08159444__PNMA5	0.10401	0.084835	0.80373	0.79764	0.49079	0.089533	0.35319	0.8699	0.82829	0.62976	0.2479	0.69585	0.67884	0.63722	0.31986	0.73281	0.14108	0.055721	0.6638	0.53828	0.26706	0.13323	0.47047	0.15356	0.16386	0.052681	0.13471	0.251	0.21964	0.039111	0.045927	0.67663	0.12766	0.17077	0.18889	0.71452	0.15713	0.24173
Meth__cg02205962__BCAP31	0.77238	0.026047	0.026869	0.026908	0.65025	0.019398	0.028529	0.55172	0.031057	0.017116	0.03257	0.099684	0.075563	0.026779	0.69745	0.63518	0.16981	0.029225	0.034348	0.031099	0.74071	0.060532	0.70946	0.068313	0.028028	0.78179	0.50917	0.099973	0.71728	0.016239	0.82496	0.02153	0.022261	0.49884	0.060866	0.82083	0.69026	0.028342
Meth__cg16504798__MYO1F	0.12611	0.71845	0.23167	0.15791	0.17267	0.51247	0.346	0.80888	0.035861	0.092889	0.15055	0.60817	0.52796	0.042292	0.30949	0.2557	0.089912	0.034403	0.63331	0.6592	0.1658	0.748	0.23629	0.46723	0.64124	0.14556	0.34618	0.4146	0.035864	0.041952	0.068864	0.76835	0.072989	0.62575	0.15933	0.35566	0.15913	0.28355
Meth__cg26853640__GGN	0.03604	0.045238	0.85202	0.88227	0.099892	0.029386	0.55095	0.17892	0.065135	0.52446	0.74268	0.91768	0.70525	0.061062	0.075195	0.070948	0.057026	0.02613	0.38054	0.73454	0.036562	0.3695	0.046268	0.070947	0.38102	0.039914	0.32458	0.08601	0.13012	0.022709	0.019215	0.44041	0.26136	0.68469	0.40018	0.056524	0.036745	0.036526
Meth__cg14833160__BAX	0.047694	0.035066	0.073237	0.47436	0.2788	0.12173	0.056618	0.074024	0.050979	0.042296	0.082776	0.191	0.29117	0.11928	0.20602	0.20504	0.14585	0.038242	0.14999	0.062622	0.04353	0.078313	0.044614	0.077563	0.18716	0.071218	0.10033	0.12736	0.044503	0.05328	0.051049	0.21688	0.12434	0.033332	0.096128	0.061676	0.05748	0.060105
Meth__cg00540544__CSRP1	0.052805	0.58463	0.06892	0.034001	0.24706	0.61403	0.065253	0.051289	0.60711	0.044918	0.55124	0.040902	0.12555	0.58394	0.045583	0.036929	0.073306	0.025514	0.67469	0.56619	0.03481	0.51533	0.035234	0.059426	0.057306	0.070176	0.13616	0.11627	0.034514	0.036143	0.020131	0.6876	0.032311	0.13467	0.11392	0.041238	0.055111	0.24582
Meth__cg12699145__TMC7	0.051617	0.25121	0.61773	0.13203	0.41216	0.055671	0.04003	0.036444	0.12127	0.17486	0.30163	0.13649	0.10587	0.13298	0.17488	0.034672	0.06049	0.033176	0.19466	0.21203	0.32427	0.074394	0.051954	0.05914	0.0396	0.047193	0.17996	0.46129	0.032917	0.046945	0.035523	0.0476	0.049774	0.018045	0.13473	0.11741	0.035791	0.025901
Meth__cg08300622__SCML2	0.5394	0.12846	0.16328	0.12808	0.39913	0.045729	0.095973	0.063393	0.059462	0.60997	0.055903	0.37315	0.43248	0.057708	0.050098	0.076931	0.41986	0.31721	0.054774	0.092505	0.60128	0.24682	0.48863	0.12461	0.40911	0.40204	0.40703	0.47735	0.49243	0.054874	0.50927	0.3225	0.051915	0.066801	0.084811	0.38717	0.32803	0.065877
Meth__cg22730042__U2AF1	0.047018	0.11678	0.62929	0.29748	0.056743	0.43435	0.26004	0.22398	0.55252	0.25337	0.09058	0.1437	0.47195	0.46082	0.046425	0.044035	0.10059	0.034808	0.32263	0.3211	0.17313	0.26094	0.10074	0.3598	0.69475	0.10365	0.13457	0.24077	0.021885	0.036531	0.061717	0.34751	0.054941	0.075587	0.17675	0.053785	0.08075	0.044657
Meth__cg15147435__FKBP11	0.04238	0.75404	0.93006	0.23907	0.45582	0.93715	0.045509	0.95122	0.93722	0.61237	0.050658	0.11168	0.9116	0.94	0.91736	0.026205	0.30018	0.029111	0.14546	0.062569	0.03282	0.92115	0.073852	0.87415	0.037518	0.048481	0.13866	0.17469	0.033918	0.11256	0.079011	0.96818	0.9098	0.32756	0.9129	0.64025	0.58797	0.93368
Meth__cg21431091__TMEM9	0.036762	0.029847	0.51488	0.74845	0.028524	0.3731	0.042777	0.11122	0.11452	0.1059	0.059976	0.074133	0.11844	0.10834	0.048066	0.069113	0.058271	0.052273	0.055041	0.057435	0.055545	0.070026	0.030253	0.12126	0.093148	0.079901	0.096924	0.062935	0.031746	0.030242	0.048734	0.10888	0.058041	0.037882	0.10176	0.067038	0.035347	0.043149
Meth__cg06630737__C1orf187	0.12003	0.067922	0.93225	0.89421	0.74559	0.95203	0.8803	0.81502	0.039009	0.81498	0.88247	0.23248	0.7302	0.075551	0.21817	0.13151	0.095513	0.045909	0.78919	0.87241	0.70674	0.74384	0.67076	0.93354	0.75316	0.16299	0.93747	0.1557	0.12572	0.053688	0.061326	0.47461	0.050384	0.40139	0.19965	0.194	0.66013	0.81094
Meth__cg20925954__DUSP5	0.070591	0.14261	0.13991	0.633	0.16983	0.13337	0.18065	0.091765	0.187	0.095948	0.25026	0.29051	0.1479	0.17749	0.27704	0.061916	0.1178	0.077907	0.58436	0.46291	0.06593	0.20205	0.49531	0.15634	0.60291	0.12587	0.19316	0.20076	0.37091	0.082863	0.059622	0.66502	0.071157	0.074029	0.3258	0.48048	0.067735	0.18148
Meth__cg10691006__MCM2	0.12147	0.64357	0.55672	0.69391	0.60067	0.6691	0.61052	0.066997	0.3879	0.4724	0.058788	0.42402	0.57263	0.48069	0.53333	0.29733	0.17984	0.057532	0.19331	0.11111	0.56009	0.065428	0.24482	0.058527	0.8534	0.092615	0.21427	0.61104	0.041743	0.066443	0.043683	0.75004	0.10859	0.045198	0.15484	0.3577	0.47095	0.47929
Meth__cg01063813__STAT6	0.13023	0.45058	0.13625	0.81693	0.12956	0.33517	0.73455	0.094705	0.12132	0.13913	0.48873	0.11196	0.67635	0.3012	0.27737	0.10068	0.24815	0.093581	0.59981	0.83351	0.1114	0.24216	0.097788	0.16682	0.12439	0.17718	0.2161	0.48073	0.11878	0.10106	0.11278	0.80326	0.082547	0.094573	0.15044	0.81289	0.10103	0.12443
Meth__cg22083639__SLCO5A1	0.047556	0.021471	0.11509	0.37563	0.071332	0.20444	0.43957	0.24264	0.44284	0.2836	0.29645	0.41112	0.10708	0.27084	0.079856	0.19246	0.04763	0.036001	0.030976	0.071905	0.059748	0.039364	0.16363	0.10346	0.19783	0.069071	0.32705	0.073602	0.044233	0.033391	0.036909	0.21824	0.038952	0.09258	0.038043	0.41949	0.089694	0.091198
Meth__cg15972294__GNAI2	0.077438	0.070063	0.82372	0.33056	0.24228	0.82205	0.077443	0.11847	0.34573	0.14816	0.44704	0.29571	0.19859	0.27158	0.42607	0.092855	0.21781	0.077046	0.12402	0.11298	0.099218	0.10473	0.067537	0.74432	0.28658	0.18712	0.13734	0.10903	0.057917	0.065859	0.16861	0.22998	0.13652	0.12359	0.13181	0.076324	0.072899	0.20027
Meth__cg22981461__OTUB2	0.072015	0.056726	0.1289	0.17213	0.10021	0.28052	0.10995	0.8081	0.14025	0.080838	0.10428	0.52221	0.079534	0.13539	0.070222	0.52634	0.075279	0.094286	0.23657	0.28807	0.056835	0.041194	0.049113	0.13409	0.083026	0.098183	0.11855	0.074995	0.047253	0.066913	0.081234	0.16105	0.059565	0.10784	0.058743	0.16086	0.071169	0.066095
Meth__cg13578400__RCD-8	0.07482	0.080184	0.12218	0.1191	0.055658	0.050159	0.081506	0.078348	0.049058	0.057755	0.095525	0.087025	0.064377	0.51803	0.055473	0.079391	0.12179	0.043551	0.044084	0.10435	0.049276	0.075587	0.045078	0.086742	0.11642	0.095458	0.1344	0.078789	0.053187	0.050818	0.033422	0.059294	0.60152	0.047624	0.10116	0.064147	0.062942	0.063575
