Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg03258472__CRB3	0.079784	0.11564	0.49767	0.46442	0.89658	0.16443	0.12442	0.11025	0.086542	0.68613	0.44686	0.54194	0.11977	0.3015	0.61983	0.27618	0.58603	0.31853	0.23197	0.1317	0.89445	0.092931	0.86654	0.19307	0.18168	0.41737	0.13792	0.10496	0.078814	0.87862	0.22324	0.12707	0.11371	0.095326	0.08574	0.086335	0.10793
Meth__cg06771126__HOP	0.068534	0.053374	0.11824	0.065886	0.64613	0.075747	0.77335	0.082645	0.11475	0.86212	0.29557	0.20381	0.080456	0.80806	0.8677	0.13213	0.37394	0.076447	0.075432	0.25535	0.63444	0.05658	0.77298	0.078845	0.11586	0.16674	0.075488	0.21757	0.16549	0.84844	0.34346	0.04012	0.56496	0.2	0.11584	0.069915	0.078608
Meth__cg21201572__AGR2	0.087938	0.051537	0.61013	0.065894	0.85673	0.10081	0.29263	0.054959	0.11769	0.2657	0.079256	0.11427	0.085174	0.13194	0.59621	0.10874	0.72625	0.10519	0.082409	0.65132	0.86306	0.04482	0.15998	0.077594	0.21651	0.1035	0.13683	0.27791	0.10468	0.79252	0.073901	0.057961	0.045562	0.18669	0.074152	0.067327	0.070375
Meth__cg19258882__ERBB3	0.039942	0.036267	0.053322	0.063007	0.13329	0.047175	0.056798	0.04483	0.071361	0.046058	0.17765	0.071405	0.040339	0.076534	0.088053	0.031152	0.14355	0.06331	0.03822	0.37777	0.065654	0.041971	0.12185	0.038808	0.038691	0.051876	0.044444	0.068946	0.071797	0.42133	0.053701	0.078845	0.037677	0.060111	0.049906	0.03682	0.037791
Meth__cg13573276__RDHE2	0.016523	0.014317	0.93772	0.020033	0.41125	0.032561	0.88843	0.016928	0.022355	0.71951	0.93142	0.49314	0.11538	0.024764	0.080129	0.037636	0.17946	0.06535	0.02112	0.42463	0.43812	0.01845	0.036997	0.034766	0.028797	0.33441	0.025448	0.050405	0.018971	0.11309	0.17914	0.017795	0.039131	0.023443	0.021787	0.019681	0.016418
Meth__cg20420433__HLXB9	0.047722	0.32756	0.90087	0.22066	0.90805	0.37057	0.56294	0.064093	0.48623	0.24034	0.94142	0.68498	0.092267	0.80796	0.49582	0.3249	0.45518	0.080023	0.12474	0.8681	0.91222	0.098483	0.15035	0.10058	0.094471	0.049322	0.48493	0.10869	0.078449	0.53783	0.10234	0.3772	0.10385	0.080188	0.061715	0.12841	0.042652
Meth__cg13744194__OCLN	0.074304	0.062901	0.13839	0.096695	0.54991	0.086447	0.087338	0.12273	0.067802	0.94811	0.086562	0.15962	0.11567	0.084397	0.086396	0.11472	0.26943	0.096373	0.073297	0.31577	0.5625	0.082053	0.37848	0.085198	0.080839	0.17278	0.072991	0.082127	0.083929	0.56579	0.62197	0.10599	0.24615	0.14774	0.07912	0.085601	0.074273
Meth__cg22862656__SCGB2A2	0.055845	0.047079	0.21466	0.24138	0.70361	0.095397	0.84339	0.37538	0.36142	0.87111	0.17338	0.22479	0.32953	0.46196	0.671	0.090973	0.84613	0.13823	0.13718	0.74933	0.91532	0.12477	0.82923	0.129	0.082081	0.16283	0.054846	0.59018	0.30056	0.88767	0.45253	0.043506	0.146	0.12228	0.18009	0.076393	0.074453
Meth__cg04887278__RWDD2	0.034996	0.023841	0.51913	0.01826	0.18252	0.045917	0.12612	0.024532	0.034131	0.56475	0.26393	0.19504	0.030293	0.041415	0.029792	0.59098	0.81045	0.037658	0.032752	0.83629	0.086115	0.033528	0.67829	0.02715	0.052314	0.035987	0.064266	0.026441	0.025709	0.9081	0.055914	0.030036	0.02022	0.039494	0.10745	0.029523	0.021736
Meth__cg13084429__VWA2	0.065969	0.066077	0.86142	0.098901	0.90433	0.093978	0.3681	0.084917	0.078803	0.30751	0.09552	0.36827	0.081617	0.62306	0.080465	0.09725	0.18899	0.045272	0.070183	0.10272	0.20035	0.056229	0.88151	0.067477	0.097299	0.15017	0.11047	0.088647	0.10833	0.14915	0.19733	0.048411	0.7156	0.15128	0.064698	0.048228	0.078123
Meth__cg25268718__PSME1	0.071893	0.069773	0.31213	0.17458	0.77674	0.24859	0.26522	0.42718	0.095301	0.8254	0.55866	0.34527	0.32454	0.26614	0.43667	0.24196	0.44847	0.26676	0.17444	0.37581	0.64932	0.096833	0.5871	0.12062	0.16747	0.13104	0.098056	0.10086	0.090032	0.41082	0.42967	0.13768	0.17126	0.10434	0.09019	0.11202	0.14596
Meth__cg08942875__OCIAD2	0.067471	0.041447	0.12451	0.046871	0.71556	0.049001	0.049346	0.02882	0.033582	0.10426	0.058834	0.096123	0.036328	0.051815	0.066334	0.074235	0.51544	0.050305	0.052846	0.091176	0.13802	0.02873	0.078126	0.044211	0.07579	0.074273	0.071624	0.056306	0.031321	0.059224	0.15112	0.032175	0.027914	0.04127	0.049782	0.028823	0.039412
Meth__cg20582779__KIAA1822L	0.030765	0.065578	0.88083	0.16167	0.89204	0.51365	0.94361	0.30964	0.087321	0.89759	0.65228	0.80189	0.22127	0.78551	0.52411	0.095305	0.39417	0.55584	0.40177	0.53923	0.52297	0.062385	0.61527	0.43764	0.063404	0.76155	0.10542	0.037226	0.89938	0.30469	0.54653	0.07018	0.23177	0.11541	0.065158	0.1954	0.17431
Meth__cg12629515__HIST1H2BO	0.095199	0.08997	0.53531	0.24938	0.2817	0.26667	0.79658	0.10255	0.42968	0.15514	0.10375	0.39883	0.092617	0.46033	0.057069	0.27624	0.80332	0.083422	0.095998	0.54527	0.15017	0.13884	0.20628	0.10935	0.14107	0.13099	0.14685	0.83318	0.079065	0.41481	0.59145	0.29143	0.13378	0.17471	0.16182	0.098686	0.10157
Meth__cg20367961__EDN2	0.056359	0.051505	0.10835	0.072609	0.65201	0.050534	0.19795	0.036938	0.10127	0.77935	0.20644	0.32688	0.051388	0.34326	0.5923	0.10634	0.84114	0.058672	0.10921	0.083138	0.89922	0.084393	0.78352	0.074444	0.10997	0.15478	0.063587	0.42947	0.05472	0.5225	0.8427	0.090328	0.14629	0.17677	0.15613	0.070379	0.074824
Meth__cg03242666__PMP22	0.092351	0.11897	0.80057	0.38507	0.38033	0.13641	0.83032	0.10165	0.77041	0.77609	0.4185	0.58726	0.1005	0.47836	0.54887	0.26525	0.085569	0.39651	0.16531	0.12185	0.80092	0.083835	0.69756	0.34405	0.17893	0.45086	0.15365	0.1101	0.10467	0.71137	0.43928	0.081049	0.16902	0.20113	0.11249	0.11129	0.20525
Meth__cg25277950__EML2	0.070708	0.03837	0.8813	0.29039	0.65546	0.20648	0.31344	0.039152	0.45474	0.77888	0.71925	0.57633	0.029097	0.48903	0.77558	0.79567	0.10553	0.30213	0.36702	0.89183	0.33556	0.066005	0.75021	0.35771	0.06563	0.13745	0.057218	0.054401	0.36555	0.39318	0.55899	0.21971	0.26892	0.097465	0.15018	0.12326	0.14543
Meth__cg02265318__MOSC1	0.022284	0.51241	0.8393	0.029598	0.77797	0.33076	0.56076	0.1491	0.10008	0.4428	0.03614	0.55515	0.13553	0.97127	0.42108	0.078731	0.49762	0.014655	0.032883	0.12432	0.7867	0.055635	0.06985	0.031095	0.043735	0.14015	0.38289	0.22934	0.038811	0.098951	0.28771	0.082775	0.5444	0.076885	0.030145	0.24481	0.2346
Meth__cg11316784__NSD1	0.043442	0.059824	0.53614	0.060506	0.55549	0.061369	0.099003	0.043981	0.043598	0.3151	0.1897	0.21759	0.046249	0.10439	0.17857	0.056172	0.059161	0.031715	0.068033	0.18703	0.58279	0.032786	0.60528	0.044745	0.078297	0.1116	0.10608	0.035054	0.027386	0.034862	0.6874	0.037178	0.042076	0.069287	0.046529	0.037363	0.06229
Meth__cg15913671__TMEM105	0.032933	0.047566	0.037796	0.029559	0.83159	0.032356	0.76618	0.029135	0.034253	0.39684	0.041762	0.1017	0.038484	0.30442	0.68508	0.056237	0.31969	0.026414	0.03149	0.070627	0.87322	0.022276	0.85427	0.030679	0.044469	0.23043	0.072657	0.03801	0.14376	0.84717	0.017263	0.096498	0.021888	0.076386	0.034179	0.051423	0.033226
Meth__cg15958424__ACPP	0.081619	0.054936	0.099589	0.057897	0.64915	0.11261	0.42689	0.081173	0.22954	0.41355	0.24419	0.11825	0.084071	0.36306	0.81598	0.088472	0.64299	0.065888	0.060295	0.30969	0.38604	0.15278	0.70139	0.094867	0.20242	0.15679	0.13556	0.82287	0.091768	0.43041	0.64435	0.058362	0.21919	0.13085	0.14562	0.098747	0.10263
Meth__cg03167275__CXADR	0.054828	0.066197	0.22562	0.052805	0.086342	0.079974	0.077376	0.056392	0.44429	0.096213	0.067061	0.092291	0.059087	0.067486	0.062356	0.073852	0.59917	0.10243	0.19546	0.16075	0.10562	0.074668	0.14597	0.043237	0.078301	0.083742	0.081477	0.07698	0.046956	0.092662	0.05923	0.050885	0.043437	0.07334	0.064317	0.039805	0.055588
Meth__cg13337865__TEKT1	0.061476	0.047768	0.52114	0.29855	0.83946	0.10323	0.62267	0.47426	0.052388	0.53193	0.68235	0.15611	0.34826	0.6712	0.3694	0.17723	0.21255	0.071258	0.057808	0.25833	0.27141	0.12388	0.82381	0.087397	0.068968	0.67945	0.085915	0.049551	0.074002	0.83578	0.65618	0.081574	0.56795	0.048207	0.041888	0.056362	0.070205
Meth__cg20858478__B4GALNT2	0.058617	0.06916	0.8728	0.037452	0.8978	0.078303	0.67936	0.058387	0.054812	0.89475	0.1418	0.24374	0.077497	0.75261	0.069566	0.18502	0.83067	0.075765	0.045938	0.33942	0.81012	0.06911	0.76868	0.044246	0.20954	0.17602	0.15143	0.068137	0.079518	0.19465	0.10745	0.07097	0.8472	0.12175	0.041849	0.061623	0.2656
Meth__cg07671976__TNFRSF18	0.023438	0.029112	0.95088	0.20998	0.78962	0.16796	0.093435	0.045974	0.33999	0.19602	0.96989	0.9528	0.1092	0.83571	0.17546	0.080972	0.031791	0.14134	0.63868	0.15042	0.95432	0.035064	0.72188	0.18904	0.031204	0.57155	0.044174	0.034851	0.017994	0.93951	0.54591	0.22246	0.88268	0.11124	0.032258	0.043893	0.056182
Meth__cg18410627__RALGPS1	0.044384	0.040468	0.68824	0.11141	0.6268	0.054664	0.10614	0.037543	0.30614	0.91004	0.054851	0.28911	0.14502	0.057145	0.17508	0.11624	0.27978	0.055149	0.049242	0.041041	0.40237	0.040062	0.84972	0.09198	0.087262	0.057172	0.060245	0.06035	0.039773	0.45457	0.067383	0.057516	0.049809	0.064841	0.057011	0.052145	0.083803
Meth__cg19713196__LAD1	0.037088	0.033483	0.04903	0.030894	0.93908	0.17135	0.14803	0.027553	0.10249	0.041001	0.052973	0.072	0.03452	0.63622	0.31309	0.081901	0.065618	0.041797	0.037644	0.057369	0.69284	0.039943	0.84	0.039173	0.046531	0.17757	0.073475	0.36712	0.024038	0.65133	0.027912	0.029821	0.040008	0.057748	0.044178	0.033714	0.032604
Meth__cg04653308__PPP2R4	0.11889	0.10337	0.23153	0.111	0.68219	0.11429	0.60047	0.12361	0.22276	0.48858	0.68238	0.34509	0.15534	0.40823	0.52885	0.13246	0.57075	0.32675	0.28407	0.7622	0.73994	0.40389	0.41105	0.17219	0.10304	0.12463	0.12452	0.20374	0.13461	0.41822	0.22229	0.12733	0.19544	0.19895	0.14034	0.11432	0.11508
Meth__cg17960516__FLJ33718	0.057672	0.05988	0.691	0.065058	0.85009	0.077792	0.079292	0.075765	0.058749	0.95668	0.08268	0.81451	0.066086	0.95973	0.10917	0.099423	0.040861	0.035983	0.097565	0.14482	0.83766	0.041303	0.20457	0.073781	0.081603	0.50231	0.13201	0.061241	0.058477	0.10952	0.85898	0.034288	0.044269	0.12456	0.044351	0.047378	0.070134
Meth__cg09882647__C20orf35	0.19529	0.10757	0.76483	0.069343	0.40313	0.11823	0.32004	0.14922	0.23111	0.067004	0.081363	0.28668	0.10296	0.21147	0.51348	0.17281	0.30076	0.12278	0.051799	0.23192	0.11476	0.22312	0.56486	0.072495	0.076051	0.25543	0.06786	0.051347	0.90385	0.45887	0.087695	0.076548	0.22847	0.030689	0.046467	0.053007	0.10209
Meth__cg14809191__FOXQ1	0.43554	0.041688	0.95204	0.048513	0.78409	0.057789	0.90328	0.17658	0.046956	0.60458	0.12965	0.16284	0.15093	0.95088	0.18302	0.37168	0.65249	0.047426	0.045708	0.10381	0.33481	0.046906	0.49407	0.047219	0.037415	0.13975	0.049048	0.039517	0.03655	0.87237	0.32613	0.037594	0.65894	0.070691	0.038386	0.052617	0.076307
Meth__cg26453670__RNPC1	0.06653	0.027105	0.18348	0.13617	0.35645	0.38496	0.058163	0.034193	0.07157	0.1171	0.13386	0.079888	0.03924	0.047306	0.33551	0.12721	0.36145	0.079845	0.15419	0.11962	0.12385	0.10104	0.2793	0.21659	0.083501	0.33175	0.057477	0.034234	0.11894	0.41243	0.14179	0.12901	0.04819	0.039404	0.053215	0.045784	0.033855
Meth__cg19384697__UPK3B	0.077999	0.07585	0.11037	0.34731	0.46246	0.15257	0.10996	0.078267	0.10479	0.096249	0.063856	0.25621	0.12869	0.15206	0.32762	0.097802	0.11949	0.069637	0.084561	0.45866	0.47694	0.066121	0.76983	0.11446	0.11524	0.14927	0.072077	0.10636	0.37344	0.55879	0.32279	0.092723	0.078963	0.084227	0.069977	0.13846	0.37555
Meth__cg13346411__CCKBR	0.066818	0.14756	0.93932	0.15095	0.73007	0.9136	0.62445	0.056807	0.078036	0.68153	0.17572	0.93559	0.068286	0.17702	0.10921	0.21587	0.56685	0.93747	0.62304	0.35734	0.18976	0.062098	0.92842	0.1005	0.087456	0.93111	0.12328	0.083161	0.12615	0.29385	0.35715	0.074848	0.61887	0.10122	0.095787	0.080483	0.089535
Meth__cg00890257__DEGS2	0.036081	0.031748	0.8652	0.035831	0.95042	0.040683	0.048854	0.025988	0.037979	0.95392	0.085079	0.34779	0.025783	0.047133	0.056367	0.11488	0.81643	0.03047	0.034024	0.044908	0.040714	0.02438	0.94248	0.034897	0.047244	0.09694	0.052733	0.039111	0.0368	0.050968	0.026805	0.02638	0.022949	0.1333	0.038124	0.029955	0.033008
Meth__cg11285003__HCN1	0.076021	0.035795	0.90101	0.076644	0.63537	0.91933	0.92069	0.052142	0.21373	0.92123	0.33388	0.18006	0.046172	0.075699	0.048528	0.072012	0.13654	0.11062	0.1132	0.14165	0.07781	0.049488	0.64376	0.043658	0.086165	0.84442	0.060172	0.24829	0.099205	0.13568	0.49354	0.057832	0.6014	0.24794	0.089569	0.038745	0.053639
Meth__cg10025443__SYK	0.07835	0.060413	0.065778	0.057574	0.88954	0.14651	0.18393	0.043818	0.056916	0.55245	0.11087	0.099695	0.053001	0.046535	0.33465	0.16374	0.17001	0.038847	0.069589	0.31348	0.22925	0.046222	0.84583	0.052559	0.085696	0.86207	0.067032	0.39932	0.13256	0.55016	0.64856	0.04373	0.05273	0.099896	0.06059	0.049748	0.046584
Meth__cg15307169__FLJ33718	0.073548	0.050877	0.5105	0.051239	0.69106	0.060061	0.09695	0.042059	0.063531	0.89869	0.057389	0.59809	0.043969	0.89608	0.060712	0.13345	0.046469	0.038531	0.064771	0.078535	0.61595	0.036666	0.1383	0.047383	0.10307	0.33753	0.10192	0.091706	0.052589	0.057061	0.67656	0.030129	0.039901	0.12464	0.054895	0.048448	0.055858
Meth__cg25104030__RASGEF1A	0.057249	0.04033	0.31348	0.060835	0.4472	0.081241	0.45393	0.041467	0.044912	0.49508	0.08152	0.36717	0.059034	0.45259	0.053621	0.081723	0.039421	0.035256	0.04827	0.18108	0.46131	0.064386	0.3243	0.04657	0.075085	0.13272	0.053804	0.039706	0.049151	0.069546	0.22339	0.04145	0.031162	0.08744	0.082668	0.07011	0.046049
Meth__cg03985136__ULBP2	0.043438	0.052763	0.90613	0.084601	0.52035	0.23123	0.10622	0.067909	0.059994	0.12529	0.195	0.28338	0.2003	0.093214	0.046224	0.058763	0.075452	0.11275	0.056018	0.95368	0.23238	0.070361	0.48238	0.071503	0.087897	0.48372	0.083777	0.041291	0.06208	0.32211	0.10077	0.052209	0.35847	0.067327	0.065501	0.053968	0.045998
Meth__cg04925864__FAM65A	0.018517	0.025853	0.82429	0.22859	0.58082	0.16837	0.79408	0.90217	0.26551	0.36228	0.96547	0.93747	0.67479	0.98704	0.3132	0.4199	0.041338	0.52541	0.27541	0.33604	0.344	0.033123	0.26477	0.077762	0.024482	0.93092	0.08283	0.011331	0.087687	0.75272	0.59302	0.21376	0.010581	0.062417	0.058798	0.021011	0.019706
Meth__cg17925542__IDH2	0.051405	0.03767	0.09939	0.044125	0.48989	0.051442	0.10616	0.05074	0.031579	0.074811	0.060327	0.17516	0.029297	0.24193	0.083802	0.10188	0.46357	0.030233	0.066522	0.23444	0.045341	0.029161	0.65163	0.037749	0.094133	0.10479	0.04765	0.039095	0.25348	0.040781	0.33063	0.032346	0.028984	0.064945	0.033591	0.029402	0.081668
Meth__cg01942127__CACNA1D	0.026735	0.019119	0.69214	0.025508	0.96134	0.098449	0.96152	0.52563	0.031425	0.60306	0.39044	0.70583	0.37221	0.63042	0.67275	0.3584	0.083118	0.023921	0.038542	0.02817	0.56087	0.039639	0.92015	0.42076	0.027828	0.078677	0.034138	0.077914	0.28179	0.091375	0.54729	0.04831	0.097849	0.049678	0.034957	0.1477	0.043028
Meth__cg14886269__TNFRSF18	0.042351	0.025473	0.96238	0.03258	0.96802	0.042171	0.12157	0.0574	0.03677	0.15326	0.80301	0.95068	0.039393	0.66825	0.21731	0.13363	0.099593	0.092529	0.49496	0.072624	0.96751	0.033194	0.88311	0.081009	0.074214	0.15228	0.066534	0.46372	0.037254	0.96402	0.15348	0.09741	0.96421	0.073925	0.035211	0.036588	0.031228
Meth__cg20979799__RFXDC1	0.054135	0.071539	0.53849	0.070442	0.87108	0.091855	0.13902	0.05892	0.080354	0.29348	0.32712	0.61743	0.064444	0.46859	0.25247	0.12645	0.31737	0.27054	0.090243	0.31585	0.10296	0.067917	0.91991	0.053366	0.19303	0.21305	0.076611	0.080719	0.17186	0.30642	0.054943	0.07369	0.46478	0.13727	0.066853	0.090965	0.073603
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.17159	0.63909	0.27788	0.21835	0.77333	0.19201	0.13245	0.25376	0.23782	0.2509	0.2089	0.20077	0.22465	0.14815	0.16475	0.13124	0.15774	0.78845	0.20112	0.16157	0.45484	0.1721	0.13881	0.29889	0.087942	0.10622	0.20464	0.34642	0.53417	0.10595	0.10853	0.13061	0.12659	0.14646	0.14324
Meth__cg18016365__GABRB1	0.051976	0.065391	0.83361	0.89243	0.74826	0.46298	0.70207	0.078495	0.89193	0.64321	0.1374	0.73407	0.30994	0.13515	0.67254	0.36298	0.6413	0.16484	0.2489	0.17277	0.092435	0.044613	0.82701	0.33013	0.20768	0.77276	0.07714	0.054442	0.87539	0.56719	0.58638	0.32891	0.69862	0.12115	0.18296	0.05488	0.28039
Meth__cg00121640__ASTN2	0.05728	0.046987	0.35661	0.061001	0.47682	0.066354	0.45965	0.048248	0.069065	0.23746	0.26397	0.1686	0.058457	0.23159	0.11175	0.07346	0.052418	0.14659	0.06326	0.056571	0.074806	0.062655	0.48478	0.055438	0.068129	0.13411	0.061688	0.061738	0.065167	0.067239	0.063453	0.07297	0.19914	0.081791	0.059246	0.054147	0.062521
Meth__cg08185661__SYT9	0.046786	0.028492	0.94487	0.059991	0.92144	0.037173	0.59523	0.025866	0.034102	0.97	0.21236	0.88602	0.02567	0.046632	0.57775	0.0678	0.29544	0.53527	0.047994	0.52128	0.18255	0.028404	0.90706	0.031756	0.034397	0.71407	0.037266	0.041872	0.076466	0.56446	0.025697	0.026636	0.12501	0.13957	0.025744	0.025164	0.088372
Meth__cg10988561__PDCD6	0.082511	0.033413	0.18797	0.034214	0.22035	0.053402	0.21648	0.03508	0.10277	0.16762	0.20763	0.29679	0.046619	0.080399	0.17869	0.073962	0.023484	0.030593	0.033327	0.046678	0.10836	0.023324	0.37	0.036137	0.049033	0.10683	0.048487	0.038807	0.062873	0.068304	0.082983	0.023571	0.12372	0.059969	0.056135	0.053967	0.048797
Meth__cg24751129__GNMT	0.043883	0.032461	0.0557	0.03855	0.97311	0.060176	0.64365	0.036655	0.054782	0.94092	0.59977	0.44173	0.048643	0.23701	0.9499	0.097011	0.95368	0.2285	0.084266	0.11061	0.96769	0.072045	0.93344	0.046872	0.061993	0.13716	0.104	0.89644	0.32309	0.96014	0.17536	0.034706	0.10769	0.099678	0.046854	0.045469	0.059799
Meth__cg21484834__PTK6	0.072312	0.033943	0.062735	0.38639	0.9511	0.053812	0.47321	0.89471	0.081672	0.92494	0.452	0.56269	0.58594	0.76444	0.94351	0.21032	0.82393	0.098506	0.68336	0.77305	0.93003	0.049562	0.099939	0.59623	0.077905	0.45174	0.12562	0.66259	0.04365	0.90691	0.76031	0.71661	0.037512	0.060721	0.054276	0.036147	0.037907
Meth__cg18438777__NPY5R	0.081096	0.06338	0.95206	0.090512	0.94828	0.081732	0.57769	0.09318	0.081984	0.43225	0.11103	0.874	0.07028	0.93915	0.072482	0.17475	0.80043	0.039916	0.070721	0.351	0.069334	0.080342	0.88429	0.064456	0.10398	0.60955	0.096957	0.051811	0.03945	0.71751	0.17688	0.057828	0.94073	0.13862	0.36278	0.0608	0.057437
Meth__cg13365761__SCNN1G	0.064708	0.044809	0.072076	0.090955	0.97221	0.056966	0.056782	0.060369	0.074194	0.094752	0.04327	0.090732	0.064801	0.051347	0.06698	0.11002	0.11685	0.049464	0.054769	0.056122	0.074639	0.049149	0.77426	0.058337	0.068949	0.088295	0.054557	0.056082	0.048559	0.06566	0.064022	0.049325	0.039362	0.04687	0.057787	0.053567	0.053513
Meth__cg07177852__CCDC68	0.045669	0.06777	0.81776	0.77318	0.73384	0.41893	0.87147	0.048037	0.056738	0.78421	0.094676	0.604	0.14336	0.83558	0.45333	0.30857	0.60082	0.059812	0.064478	0.34119	0.1431	0.047962	0.31051	0.79122	0.13209	0.78365	0.071694	0.44013	0.034291	0.50008	0.81787	0.64309	0.76648	0.58195	0.046742	0.55808	0.66778
Meth__cg10364513__RXRG	0.19848	0.042288	0.96685	0.21699	0.95135	0.73901	0.98419	0.11845	0.051935	0.70508	0.19318	0.96354	0.088997	0.61707	0.24076	0.27146	0.3159	0.4393	0.14545	0.96522	0.11603	0.034834	0.93203	0.54192	0.12531	0.54939	0.079117	0.22745	0.45531	0.42144	0.93674	0.041838	0.94798	0.071121	0.062047	0.19249	0.55244
