Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__STARD3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NME7	0.651	0.492	0.162	-0.676	0.603	0.1	0.446	-2.446	-2.095	0.059	0.09	-0.024	0.403	-0.156	-2.232	0.236	0.176	0.183	-0.096	0.277	-0.064	0.176	0.296	-1.802	-0.222	-0.052	0.286	0.263	-0.23	-0.172	0	0.084	0.089	0.243	0.291	0.282	0.067	0.445	-0.997
SNP__LOC220929	0.021	-3.307	0.326	-0.091	0.102	-2.386	-0.139	0.431	-2.209	-0.292	-0.132	-0.014	-0.03	-0.151	-1.897	0.022	0.183	0.083	0.042	0.762	-2.689	-0.356	0.09	-0.589	0.019	0.213	-0.043	-1.109	0.189	0.189	0.033	0.416	-0.204	0.008	-0.773	-0.302	0.08	-0.074	0.009
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.507	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.226	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__RPS10P2	0.013	0.304	-2.773	0.122	0.437	-0.355	0.09	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.067	-1.165	0.252	0.157	-0.255	-0.374	0.868	0.028	0.109	0.056	0.024	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__DLG2	-0.634	0.113	0.18	-0.244	-0.632	-1.16	-0.541	-0.094	-3.323	-0.323	-0.465	-0.054	0.189	0.841	-0.064	0.306	0.242	0.23	0.256	-0.225	-0.181	0.19	2.017	-0.109	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258	-0.386
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__SLC44A5	0.014	0.102	-0.219	-0.32	-0.214	0.166	-3.945	-0.041	0.54	-0.944	0.098	-0.494	-0.029	-0.116	-0.193	-0.172	-0.263	-0.062	-3.665	0.254	0.226	-0.47	-0.201	-0.126	-0.172	-0.032	-0.063	0.279	-3.573	0.174	0.014	-0.139	0.045	-0.082	0.058	-0.3	-0.284	-0.366	-0.36
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-3.626	0.098	-0.463	-0.029	-0.116	0.296	-0.172	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	-0.139	0.134	-0.035	0.043	-0.3	-3.392	-0.366	-0.36
SNP__C6orf142	0.009	1.173	-0.215	1.823	-0.608	1.949	1.676	1.548	-0.236	-0.367	1.675	-1.374	2.177	2.205	0.02	1.728	1.688	1.511	-0.392	2.174	0.149	1.363	0.084	2.165	0.392	0.246	-0.056	1.373	0.473	2.372	0.017	1.813	0.346	0.144	-2.114	2.116	0.062	-0.222	-0.379
SNP__LOC643473	-0.26	-0.178	-0.209	-0.352	-0.211	-0.07	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-0.036	-0.541	-0.29	-0.094	0.287	-0.184	-6.439	-0.006	-0.191	0.002	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
SNP__ZNF291	1.389	1.241	1.103	-2.232	0.842	-2.143	-1.568	-1.604	1.159	1.567	-1.657	-2.226	1.656	0.899	-1.684	1.304	-1.828	1.473	-1.248	1.151	-0.318	-1.928	-1.225	1.228	1.309	-1.604	-0.64	1.19	1.798	1.79	1.377	-1.361	1.133	1.031	-1.919	0	-1.574	1.463	1.105
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__GNTIVH	0	0.087	-0.89	-0.287	0.024	-1.829	0.268	-0.35	-0.2	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	0.473	-0.286	-0.029	-5.759	-0.242	0.183	0.043	-0.039	0.747	0.227	-0.018	0.049	-0.21	-4.154	0.011	0.196	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
SNP__RHD	-2.45	-0.136	-0.18	-0.234	-0.44	0.218	-0.163	-0.081	-0.204	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-1.757	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.321	0.344	-0.015	0.387	0.262	0.226	0.206	0.018	-0.156	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
SNP__LOC440300	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
